Type,Last,Volume,"Open Int","Daily Premium",Strike,Type,Last,Volume,"Open Int","Daily Premium"
Call,211-4,N/A,N/A,"10,575.00",220-0,Put,0-1,N/A,N/A,6.25
Call,201-4,N/A,N/A,"10,075.00",230-0,Put,0-1,N/A,N/A,6.25
Call,191-4,N/A,N/A,"9,575.00",240-0,Put,0-1,N/A,N/A,6.25
Call,181-4,N/A,N/A,"9,075.00",250-0,Put,0-1,N/A,N/A,6.25
Call,171-4,N/A,N/A,"8,575.00",260-0,Put,0-1,N/A,N/A,6.25
Call,161-4,N/A,N/A,"8,075.00",270-0,Put,0-1,N/A,N/A,6.25
Call,151-4,N/A,N/A,"7,575.00",280-0,Put,0-1,N/A,N/A,6.25
Call,141-4,N/A,N/A,"7,075.00",290-0,Put,0-1,N/A,50,6.25
Call,131-4,N/A,N/A,"6,575.00",300-0,Put,0-1,N/A,2,6.25
Call,121-4,N/A,N/A,"6,075.00",310-0,Put,0-1,N/A,71,6.25
Call,116-4,N/A,N/A,"5,825.00",315-0,Put,0-1,N/A,N/A,6.25
Call,111-4,N/A,N/A,"5,575.00",320-0,Put,0-1,N/A,219,6.25
Call,106-4,N/A,N/A,"5,325.00",325-0,Put,0-1,N/A,N/A,6.25
Call,101-4,N/A,N/A,"5,075.00",330-0,Put,0-1,N/A,115,6.25
Call,96-4,N/A,N/A,"4,825.00",335-0,Put,0-1,N/A,41,6.25
Call,91-4,N/A,N/A,"4,575.00",340-0,Put,0-1,N/A,161,6.25
Call,86-4,N/A,2,"4,325.00",345-0,Put,0-1,N/A,13,6.25
Call,81-4,N/A,3,"4,075.00",350-0,Put,0-1,2,"5,075",6.25
Call,76-5,N/A,1,"3,831.25",355-0,Put,0-2,15,390,12.50
Call,71-5,N/A,7,"3,581.25",360-0,Put,0-3,4,"1,511",18.75
Call,66-6,N/A,4,"3,337.50",365-0,Put,0-3,N/A,268,18.75
Call,61-7,N/A,23,"3,093.75",370-0,Put,0-4,1,"3,587",25.00
Call,57-1,N/A,25,"2,856.25",375-0,Put,0-6,77,"2,804",37.50
Call,52-3,N/A,24,"2,618.75",380-0,Put,1-0,406,"10,055",50.00
Call,47-5,N/A,29,"2,381.25",385-0,Put,1-2,13,"2,800",62.50
Call,43-1,N/A,80,"2,156.25",390-0,Put,1-6,2,"9,572",87.50
Call,38-6,N/A,83,"1,937.50",395-0,Put,2-3,2,"4,681",118.75
Call,34-4,1,550,"1,725.00",400-0,Put,3-1,"1,989","17,109",156.25
Call,30-4,N/A,143,"1,525.00",405-0,Put,4-1,31,"3,537",206.25
Call,26-7,10,"1,524","1,343.75",410-0,Put,5-3,"2,828","13,480",268.75
Call,23-3,20,"1,050","1,168.75",415-0,Put,7-0,64,"4,552",350.00
Call,20-3,160,"5,886","1,018.75",420-0,Put,8-7,610,"13,093",443.75
Call,17-4,10,"7,456",875.00,425-0,Put,11-0,"2,173","12,689",550.00
Call,15-0,"2,579","6,594",750.00,430-0,Put,13-4,5,"19,274",675.00
Call,12-7,61,"4,194",643.75,435-0,Put,16-3,106,"3,762",818.75
Call,11-0,201,"11,204",550.00,440-0,Put,19-4,90,"8,287",975.00
Call,9-3,249,"3,030",468.75,445-0,Put,22-7,6,"2,673","1,143.75"
Call,8-0,24,"38,243",400.00,450-0,Put,26-3,116,"12,651","1,318.75"
Call,6-6,55,"5,529",337.50,455-0,Put,30-2,1,"3,537","1,512.50"
Call,5-6,"3,599","17,219",287.50,460-0,Put,34-1,2,"11,493","1,706.25"
Call,4-7,148,"4,332",243.75,465-0,Put,38-3,N/A,"1,830","1,918.75"
Call,4-2,"1,171","17,067",212.50,470-0,Put,42-5,67,"7,640","2,131.25"
Call,3-5,174,"4,879",181.25,475-0,Put,47-0,2,"3,929","2,350.00"
