Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,215-0s,N/A,N/A,"10,750.00",220-0,Put,0-1s,N/A,N/A,6.25
Call,205-0s,N/A,N/A,"10,250.00",230-0,Put,0-1s,N/A,N/A,6.25
Call,195-0s,N/A,N/A,"9,750.00",240-0,Put,0-1s,N/A,N/A,6.25
Call,185-0s,N/A,N/A,"9,250.00",250-0,Put,0-1s,N/A,N/A,6.25
Call,175-0s,N/A,N/A,"8,750.00",260-0,Put,0-1s,N/A,N/A,6.25
Call,165-0s,N/A,N/A,"8,250.00",270-0,Put,0-1s,N/A,N/A,6.25
Call,155-0s,N/A,N/A,"7,750.00",280-0,Put,0-1s,N/A,N/A,6.25
Call,145-0s,N/A,N/A,"7,250.00",290-0,Put,0-1s,N/A,50,6.25
Call,135-0s,N/A,N/A,"6,750.00",300-0,Put,0-1s,N/A,2,6.25
Call,125-0s,N/A,N/A,"6,250.00",310-0,Put,0-1s,N/A,71,6.25
Call,120-0s,N/A,N/A,"6,000.00",315-0,Put,0-1s,N/A,N/A,6.25
Call,115-0s,N/A,N/A,"5,750.00",320-0,Put,0-1s,N/A,219,6.25
Call,110-0s,N/A,N/A,"5,500.00",325-0,Put,0-1s,N/A,N/A,6.25
Call,105-0s,N/A,N/A,"5,250.00",330-0,Put,0-1s,10,115,6.25
Call,100-0s,N/A,N/A,"5,000.00",335-0,Put,0-1s,N/A,41,6.25
Call,95-0s,N/A,N/A,"4,750.00",340-0,Put,0-1s,N/A,161,6.25
Call,90-0s,N/A,2,"4,500.00",345-0,Put,0-1s,N/A,13,6.25
Call,85-0s,N/A,3,"4,250.00",350-0,Put,0-1s,23,"5,074",6.25
Call,80-1s,N/A,1,"4,006.25",355-0,Put,0-2s,15,390,12.50
Call,75-1s,N/A,7,"3,756.25",360-0,Put,0-2s,2,"1,507",12.50
Call,70-2s,N/A,4,"3,512.50",365-0,Put,0-3s,52,268,18.75
Call,65-3s,3,23,"3,268.75",370-0,Put,0-4s,10,"3,588",25.00
Call,60-4s,N/A,25,"3,025.00",375-0,Put,0-5s,77,"2,804",31.25
Call,55-6s,N/A,24,"2,787.50",380-0,Put,1-0s,"4,535","9,657",50.00
Call,51-1s,N/A,29,"2,556.25",385-0,Put,0-7s,90,"2,792",43.75
Call,46-5s,N/A,80,"2,331.25",390-0,Put,1-4s,53,"9,561",75.00
Call,42-1s,N/A,83,"2,106.25",395-0,Put,2-6,2,"4,506",137.50
Call,38-1s,2,551,"1,906.25",400-0,Put,3-0s,562,"15,761",150.00
Call,33-7s,25,143,"1,693.75",405-0,Put,4-2,2,"3,533",212.50
Call,32-0s,5,"1,534","1,600.00",410-0,Put,6-1,150,"12,591",306.25
Call,27-0s,40,"1,070","1,350.00",415-0,Put,6-5s,936,"4,509",331.25
Call,23-3s,88,"5,771","1,168.75",420-0,Put,9-4,6,"13,389",475.00
Call,18-5,1,"7,407",931.25,425-0,Put,12-0,1,"14,066",600.00
Call,15-6,10,"6,187",787.50,430-0,Put,14-3,53,"18,194",718.75
Call,14-0,13,"4,192",700.00,435-0,Put,17-3,12,"3,848",868.75
Call,11-7,2,"12,062",593.75,440-0,Put,20-3,11,"8,323","1,018.75"
Call,10-2,83,"3,018",512.50,445-0,Put,24-2,1,"2,671","1,212.50"
Call,8-6,79,"37,311",437.50,450-0,Put,26-3s,116,"12,651","1,318.75"
Call,9-0s,277,"5,514",450.00,455-0,Put,28-2s,56,"3,538","1,412.50"
Call,6-6,40,"17,278",337.50,460-0,Put,28-0s,2,"11,495","1,400.00"
Call,6-3,2,"4,191",318.75,465-0,Put,36-5s,N/A,"1,830","1,831.25"
Call,5-0,21,"16,657",250.00,470-0,Put,44-0,1,"7,641","2,200.00"
Call,4-2,5,"4,877",212.50,475-0,Put,45-0s,1,"3,929","2,250.00"
Call,4-2s,"1,444","13,206",212.50,480-0,Put,44-2s,4,"4,625","2,212.50"
Call,3-2,9,"7,658",162.50,485-0,Put,51-7s,4,"4,982","2,593.75"
Call,3-3s,256,"6,186",168.75,490-0,Put,57-6s,120,"1,425","2,887.50"
Call,3-1s,42,"5,376",156.25,495-0,Put,62-7s,N/A,122,"3,143.75"
Call,2-3,10,"30,727",118.75,500-0,Put,67-4s,1,514,"3,375.00"
Call,2-4s,12,"3,695",125.00,505-0,Put,72-1s,N/A,198,"3,606.25"
Call,2-1s,133,"13,057",106.25,510-0,Put,76-7s,N/A,214,"3,843.75"
Call,2-0s,6,"5,585",100.00,515-0,Put,81-5s,N/A,148,"4,081.25"
Call,1-6s,22,"14,147",87.50,520-0,Put,86-3s,N/A,108,"4,318.75"
Call,1-4s,112,"1,878",75.00,525-0,Put,91-2s,N/A,48,"4,562.50"
Call,1-4s,39,"5,401",75.00,530-0,Put,96-1s,N/A,691,"4,806.25"
Call,1-2s,N/A,651,62.50,535-0,Put,101-0s,N/A,5,"5,050.00"
Call,1-1s,51,"6,725",56.25,540-0,Put,105-7s,N/A,N/A,"5,293.75"
Call,1-0s,7,"5,065",50.00,545-0,Put,110-6s,N/A,2,"5,537.50"
Call,0-7s,206,"40,207",43.75,550-0,Put,115-5s,N/A,2,"5,781.25"
Call,0-7s,N/A,"1,167",43.75,555-0,Put,120-4s,N/A,3,"6,025.00"
