Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
215-0s,0.00%,0.9955,0.0000,0.0000,0.0000,-26.18%,Call,07/08/26,220-0,0-1s,76.08%,-0.0034,0.0001,-0.0126,0.0150,+49.90%,Put,07/08/26
205-0s,0.00%,0.9955,0.0000,0.0000,0.0000,-26.18%,Call,07/08/26,230-0,0-1s,71.41%,-0.0036,0.0001,-0.0124,0.0159,+45.23%,Put,07/08/26
195-0s,0.00%,0.9955,0.0000,0.0000,0.0000,-26.18%,Call,07/08/26,240-0,0-1s,66.93%,-0.0038,0.0001,-0.0123,0.0168,+40.75%,Put,07/08/26
185-0s,0.00%,0.9955,0.0000,0.0000,0.0000,-26.18%,Call,07/08/26,250-0,0-1s,62.62%,-0.0041,0.0001,-0.0121,0.0178,+36.44%,Put,07/08/26
175-0s,0.00%,0.9955,0.0000,0.0000,0.0000,-26.18%,Call,07/08/26,260-0,0-1s,58.47%,-0.0044,0.0001,-0.0120,0.0189,+32.30%,Put,07/08/26
165-0s,99.43%,0.9343,0.0008,-0.2067,0.1788,+73.26%,Call,07/08/26,270-0,0-1s,54.47%,-0.0047,0.0002,-0.0118,0.0201,+28.29%,Put,07/08/26
155-0s,92.90%,0.9308,0.0009,-0.2018,0.1869,+66.73%,Call,07/08/26,280-0,0-1s,50.60%,-0.0050,0.0002,-0.0116,0.0214,+24.42%,Put,07/08/26
145-0s,86.58%,0.9269,0.0010,-0.1968,0.1955,+60.41%,Call,07/08/26,290-0,0-1s,46.85%,-0.0054,0.0002,-0.0114,0.0229,+20.67%,Put,07/08/26
135-0s,80.45%,0.9226,0.0012,-0.1916,0.2048,+54.28%,Call,07/08/26,300-0,0-1s,43.21%,-0.0058,0.0003,-0.0112,0.0245,+17.03%,Put,07/08/26
125-0s,74.50%,0.9179,0.0013,-0.1861,0.2148,+48.32%,Call,07/08/26,310-0,0-1s,39.67%,-0.0063,0.0003,-0.0110,0.0263,+13.49%,Put,07/08/26
120-0s,71.57%,0.9153,0.0014,-0.1833,0.2202,+45.40%,Call,07/08/26,315-0,0-1s,37.94%,-0.0066,0.0003,-0.0108,0.0273,+11.76%,Put,07/08/26
115-0s,68.69%,0.9126,0.0015,-0.1805,0.2258,+42.51%,Call,07/08/26,320-0,0-1s,36.22%,-0.0069,0.0004,-0.0107,0.0284,+10.05%,Put,07/08/26
110-0s,65.84%,0.9097,0.0016,-0.1775,0.2317,+39.66%,Call,07/08/26,325-0,0-1s,34.53%,-0.0072,0.0004,-0.0105,0.0295,+8.35%,Put,07/08/26
105-0s,63.02%,0.9066,0.0017,-0.1745,0.2378,+36.84%,Call,07/08/26,330-0,0-1s,32.86%,-0.0075,0.0004,-0.0104,0.0308,+6.68%,Put,07/08/26
100-0s,60.23%,0.9033,0.0019,-0.1714,0.2444,+34.05%,Call,07/08/26,335-0,0-1s,31.21%,-0.0079,0.0005,-0.0102,0.0321,+5.03%,Put,07/08/26
95-0s,57.47%,0.8998,0.0020,-0.1682,0.2512,+31.29%,Call,07/08/26,340-0,0-1s,29.57%,-0.0083,0.0005,-0.0101,0.0336,+3.40%,Put,07/08/26
90-0s,54.73%,0.8960,0.0022,-0.1650,0.2585,+28.55%,Call,07/08/26,345-0,0-1s,27.95%,-0.0088,0.0006,-0.0099,0.0351,+1.78%,Put,07/08/26
85-0s,52.02%,0.8919,0.0023,-0.1616,0.2663,+25.84%,Call,07/08/26,350-0,0-1s,26.35%,-0.0093,0.0006,-0.0097,0.0369,+0.17%,Put,07/08/26
80-1s,49.78%,0.8856,0.0025,-0.1616,0.2779,+23.60%,Call,07/08/26,355-0,0-2s,27.27%,-0.0167,0.0010,-0.0170,0.0614,+1.09%,Put,07/08/26
75-1s,47.09%,0.8806,0.0028,-0.1579,0.2868,+20.91%,Call,07/08/26,360-0,0-2s,25.57%,-0.0177,0.0012,-0.0166,0.0646,-0.61%,Put,07/08/26
70-2s,44.83%,0.8732,0.0031,-0.1574,0.2997,+18.66%,Call,07/08/26,365-0,0-3s,25.49%,-0.0254,0.0016,-0.0225,0.0877,-0.69%,Put,07/08/26
65-3s,42.56%,0.8651,0.0034,-0.1565,0.3134,+16.38%,Call,07/08/26,370-0,0-4s,24.95%,-0.0334,0.0020,-0.0277,0.1099,-1.23%,Put,07/08/26
