Type,Last,Volume,"Open Int","Daily Premium",Strike,Type,Last,Volume,"Open Int","Daily Premium"
Call,54-6,28,"6,363","2,737.50",440-0,Put,7-5,"3,119","24,071",381.25
Call,51-0,35,957,"2,550.00",445-0,Put,8-7,400,"8,922",443.75
Call,47-5,"1,297","18,514","2,381.25",450-0,Put,10-3,"6,161","25,176",518.75
Call,44-2,22,"3,449","2,212.50",455-0,Put,12-0,340,"10,270",600.00
Call,41-1,123,"19,959","2,056.25",460-0,Put,13-7,"2,154","15,896",693.75
Call,38-1,209,"3,270","1,906.25",465-0,Put,15-7,300,"6,121",793.75
Call,35-3,"1,221","24,629","1,768.75",470-0,Put,18-0,"3,782","19,972",900.00
Call,32-6,426,"9,498","1,637.50",475-0,Put,20-3,316,"4,879","1,018.75"
Call,30-2,"4,172","36,277","1,512.50",480-0,Put,22-7,"1,130","12,418","1,143.75"
Call,28-0,378,"6,475","1,400.00",485-0,Put,25-4,609,"1,668","1,275.00"
Call,25-7,"1,680","70,789","1,293.75",490-0,Put,28-3,427,"10,214","1,418.75"
Call,23-7,102,"5,878","1,193.75",495-0,Put,31-2,76,"1,301","1,562.50"
Call,22-0,"4,232","51,037","1,100.00",500-0,Put,34-3,15,"3,413","1,718.75"
Call,20-3,113,"2,560","1,018.75",505-0,Put,37-5,22,615,"1,881.25"
Call,18-6,558,"13,786",937.50,510-0,Put,41-0,6,"1,405","2,050.00"
Call,17-2,309,"2,289",862.50,515-0,Put,44-4,8,295,"2,225.00"
Call,15-7,"6,882","21,133",793.75,520-0,Put,48-1,1,386,"2,406.25"
Call,14-6,"2,495","7,058",737.50,525-0,Put,51-7,N/A,175,"2,593.75"
Call,13-4,"1,339","95,539",675.00,530-0,Put,55-5,2,"1,657","2,781.25"
Call,12-4,140,"6,697",625.00,535-0,Put,59-5,N/A,80,"2,981.25"
"Downloaded from Barchart.com as of 07-25-2026 10:16pm CDT"
