Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,51-1s,N/A,540,"2,556.25",425-0,Put,4-7s,238,"8,533",243.75
Call,47-5s,17,"2,837","2,381.25",430-0,Put,5-3,147,"22,719",268.75
Call,43-5s,79,"1,236","2,181.25",435-0,Put,6-6s,365,"13,341",337.50
Call,40-2s,40,"6,352","2,012.50",440-0,Put,9-0,425,"24,206",450.00
Call,36-4s,42,943,"1,825.00",445-0,Put,9-7s,167,"9,700",493.75
Call,33-2s,385,"17,530","1,662.50",450-0,Put,12-3,4,"30,723",618.75
Call,30-4s,3,"3,453","1,525.00",455-0,Put,13-0,2,"10,377",650.00
Call,27-0,4,"20,120","1,350.00",460-0,Put,15-4,19,"16,182",775.00
Call,25-3s,57,"3,216","1,268.75",465-0,Put,18-2s,40,"6,359",912.50
Call,24-5,21,"23,657","1,231.25",470-0,Put,20-1,110,"20,597","1,006.25"
Call,22-0,9,"11,344","1,100.00",475-0,Put,22-6,14,"5,094","1,137.50"
Call,20-2,158,"35,087","1,012.50",480-0,Put,25-6,19,"12,850","1,287.50"
Call,18-4,1,"6,600",925.00,485-0,Put,30-1s,39,"2,282","1,506.25"
Call,15-0,1,"71,196",750.00,490-0,Put,35-1,2,"10,367","1,756.25"
Call,15-2,5,"5,681",762.50,495-0,Put,35-1s,1,"1,453","1,756.25"
Call,13-4,774,"50,288",675.00,500-0,Put,41-6,1,"3,567","2,087.50"
Call,11-7s,7,"2,598",593.75,505-0,Put,44-4s,N/A,613,"2,225.00"
Call,11-1,29,"13,455",556.25,510-0,Put,45-5s,91,"1,322","2,281.25"
Call,10-0,3,"3,028",500.00,515-0,Put,52-5s,8,286,"2,631.25"
Call,9-2,39,"19,192",462.50,520-0,Put,56-0s,4,389,"2,800.00"
"Downloaded from Barchart.com as of 07-30-2026 06:56am CDT"
