Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,244-0s,N/A,N/A,"12,200.00",220-0,Put,0-1s,N/A,N/A,6.25
Call,234-0s,N/A,N/A,"11,700.00",230-0,Put,0-1s,N/A,N/A,6.25
Call,224-0s,N/A,N/A,"11,200.00",240-0,Put,0-1s,N/A,N/A,6.25
Call,214-0s,N/A,N/A,"10,700.00",250-0,Put,0-1s,N/A,154,6.25
Call,204-0s,N/A,N/A,"10,200.00",260-0,Put,0-1s,N/A,N/A,6.25
Call,194-0s,N/A,N/A,"9,700.00",270-0,Put,0-1s,N/A,100,6.25
Call,184-0s,N/A,N/A,"9,200.00",280-0,Put,0-1s,N/A,110,6.25
Call,174-0s,N/A,N/A,"8,700.00",290-0,Put,0-1s,N/A,"1,282",6.25
Call,164-0s,N/A,N/A,"8,200.00",300-0,Put,0-1s,N/A,"1,929",6.25
Call,154-0s,N/A,N/A,"7,700.00",310-0,Put,0-1s,N/A,"8,253",6.25
Call,144-0s,N/A,N/A,"7,200.00",320-0,Put,0-1s,N/A,900,6.25
Call,134-0s,N/A,N/A,"6,700.00",330-0,Put,0-2s,N/A,401,12.50
Call,124-0s,N/A,N/A,"6,200.00",340-0,Put,0-2s,N/A,"1,589",12.50
Call,114-0s,N/A,N/A,"5,700.00",350-0,Put,0-2s,N/A,"2,262",12.50
Call,104-1s,N/A,31,"5,206.25",360-0,Put,0-4s,N/A,"3,996",25.00
Call,99-1s,N/A,N/A,"4,956.25",365-0,Put,0-4s,N/A,201,25.00
Call,94-1s,N/A,1,"4,706.25",370-0,Put,0-5s,N/A,"1,352",31.25
Call,89-2s,N/A,N/A,"4,462.50",375-0,Put,0-6s,N/A,"1,130",37.50
Call,84-3s,N/A,25,"4,218.75",380-0,Put,0-7s,N/A,"4,378",43.75
Call,79-5s,N/A,42,"3,981.25",385-0,Put,1-1s,N/A,"1,340",56.25
Call,74-7s,N/A,34,"3,743.75",390-0,Put,1-2s,350,"2,161",62.50
Call,70-1s,N/A,1,"3,506.25",395-0,Put,1-5s,N/A,"2,712",81.25
Call,65-4s,N/A,289,"3,275.00",400-0,Put,2-0s,149,"16,606",100.00
Call,60-7s,N/A,N/A,"3,043.75",405-0,Put,2-2s,16,"3,584",112.50
Call,56-3s,N/A,103,"2,818.75",410-0,Put,3-0s,568,"23,077",150.00
Call,52-1s,N/A,43,"2,606.25",415-0,Put,3-5s,5,"5,818",181.25
Call,47-7s,N/A,"1,047","2,393.75",420-0,Put,4-2s,487,"30,294",212.50
Call,43-7s,N/A,540,"2,193.75",425-0,Put,5-5s,93,"8,504",281.25
Call,40-1s,113,"2,840","2,006.25",430-0,Put,6-5s,811,"22,776",331.25
Call,35-1s,3,"1,233","1,756.25",435-0,Put,8-4s,313,"13,571",425.00
Call,33-7s,368,"6,313","1,693.75",440-0,Put,10-2s,"1,357","24,843",512.50
Call,29-0s,334,"1,246","1,450.00",445-0,Put,11-3s,"1,305","8,955",568.75
Call,27-3s,"2,060","17,582","1,368.75",450-0,Put,14-0s,"2,660","31,161",700.00
Call,24-6s,1,"3,452","1,237.50",455-0,Put,15-7s,"2,655","10,379",793.75
Call,22-0s,161,"20,051","1,100.00",460-0,Put,18-4s,121,"16,105",925.00
Call,19-3s,300,"3,335",968.75,465-0,Put,21-3s,270,"6,301","1,068.75"
Call,18-1s,"2,295","24,207",906.25,470-0,Put,25-2s,"1,262","20,934","1,262.50"
Call,15-6s,437,"10,963",787.50,475-0,Put,27-2s,19,"5,077","1,362.50"
Call,14-0s,"2,142","35,053",700.00,480-0,Put,31-4s,"1,067","11,593","1,575.00"
Call,12-4s,86,"6,604",625.00,485-0,Put,32-4s,10,"2,282","1,625.00"
Call,11-4s,"6,748","64,864",575.00,490-0,Put,37-5s,161,"10,206","1,881.25"
Call,10-2s,143,"5,601",512.50,495-0,Put,41-3s,1,"1,454","2,068.75"
Call,9-4s,"3,779","51,243",475.00,500-0,Put,45-5s,33,"3,565","2,281.25"
Call,9-3s,52,"3,167",468.75,505-0,Put,49-2s,N/A,613,"2,462.50"
Call,7-5s,217,"13,270",381.25,510-0,Put,52-2s,12,"1,336","2,612.50"
Call,7-2s,82,"3,167",362.50,515-0,Put,57-4s,N/A,286,"2,875.00"
Call,6-0s,749,"19,336",300.00,520-0,Put,61-6s,1,389,"3,087.50"
Call,5-5s,900,"7,997",281.25,525-0,Put,66-1s,4,175,"3,306.25"
Call,4-7s,"6,612","93,063",243.75,530-0,Put,72-3s,15,"1,656","3,618.75"
Call,5-0s,48,"7,356",250.00,535-0,Put,75-0s,7,80,"3,750.00"
Call,4-1s,326,"11,696",206.25,540-0,Put,79-5s,N/A,52,"3,981.25"
Call,3-7s,12,"3,472",193.75,545-0,Put,84-2s,N/A,9,"4,212.50"
Call,3-4s,"3,156","42,999",175.00,550-0,Put,88-7s,2,80,"4,443.75"
Call,3-2s,46,"1,664",162.50,555-0,Put,93-4s,N/A,5,"4,675.00"
Call,3-0s,80,"13,031",150.00,560-0,Put,98-2s,N/A,54,"4,912.50"
Call,2-6s,1,"1,387",137.50,565-0,Put,103-0s,N/A,27,"5,150.00"
Call,2-4s,534,"9,468",125.00,570-0,Put,107-6s,N/A,74,"5,387.50"
Call,2-0s,719,"7,081",100.00,580-0,Put,117-3s,N/A,36,"5,868.75"
Call,1-6s,317,"2,927",87.50,590-0,Put,127-1s,N/A,34,"6,356.25"
Call,1-5s,757,"19,100",81.25,600-0,Put,136-7s,N/A,32,"6,843.75"
Call,1-3s,N/A,"5,037",68.75,610-0,Put,146-5s,N/A,54,"7,331.25"
Call,1-3s,28,"1,915",68.75,620-0,Put,156-4s,N/A,5,"7,825.00"
