Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,242-0s,N/A,N/A,"12,100.00",220-0,Put,0-1s,N/A,N/A,6.25
Call,232-0s,N/A,N/A,"11,600.00",230-0,Put,0-1s,N/A,N/A,6.25
Call,222-0s,N/A,N/A,"11,100.00",240-0,Put,0-1s,N/A,N/A,6.25
Call,212-0s,N/A,N/A,"10,600.00",250-0,Put,0-1s,N/A,154,6.25
Call,202-0s,N/A,N/A,"10,100.00",260-0,Put,0-1s,N/A,N/A,6.25
Call,192-0s,N/A,N/A,"9,600.00",270-0,Put,0-1s,N/A,100,6.25
Call,182-0s,N/A,N/A,"9,100.00",280-0,Put,0-1s,N/A,110,6.25
Call,172-0s,N/A,N/A,"8,600.00",290-0,Put,0-1s,N/A,"1,282",6.25
Call,162-0s,N/A,N/A,"8,100.00",300-0,Put,0-1s,N/A,"1,929",6.25
Call,152-0s,N/A,N/A,"7,600.00",310-0,Put,0-1s,N/A,"8,253",6.25
Call,142-0s,N/A,N/A,"7,100.00",320-0,Put,0-1s,N/A,900,6.25
Call,132-0s,N/A,N/A,"6,600.00",330-0,Put,0-1s,N/A,401,6.25
Call,122-0s,N/A,N/A,"6,100.00",340-0,Put,0-1s,N/A,"1,489",6.25
Call,112-0s,N/A,N/A,"5,600.00",350-0,Put,0-2s,N/A,"1,224",12.50
Call,102-1s,N/A,31,"5,106.25",360-0,Put,0-4s,N/A,"3,997",25.00
Call,97-1s,N/A,N/A,"4,856.25",365-0,Put,0-4s,N/A,201,25.00
Call,92-2s,N/A,1,"4,612.50",370-0,Put,0-5s,N/A,"1,052",31.25
Call,87-3s,N/A,N/A,"4,368.75",375-0,Put,0-6s,N/A,"4,652",37.50
Call,82-4s,N/A,"1,012","4,125.00",380-0,Put,0-7s,110,"4,327",43.75
Call,77-5s,N/A,42,"3,881.25",385-0,Put,1-1s,N/A,"1,300",56.25
Call,72-7s,N/A,34,"3,643.75",390-0,Put,1-2s,N/A,"2,166",62.50
Call,68-1s,N/A,1,"3,406.25",395-0,Put,1-5s,N/A,"2,694",81.25
Call,63-4s,N/A,291,"3,175.00",400-0,Put,1-7s,51,"17,017",93.75
Call,58-7s,N/A,N/A,"2,943.75",405-0,Put,2-3s,N/A,"3,585",118.75
Call,54-4s,N/A,103,"2,725.00",410-0,Put,2-7s,39,"22,987",143.75
Call,50-1s,N/A,43,"2,506.25",415-0,Put,3-4s,21,"5,876",175.00
Call,46-0s,3,"1,047","2,300.00",420-0,Put,4-2s,188,"33,100",212.50
Call,42-0s,N/A,540,"2,100.00",425-0,Put,5-2s,N/A,"8,738",262.50
Call,38-2s,25,"2,730","1,912.50",430-0,Put,6-4s,324,"22,823",325.00
Call,34-5s,14,"1,235","1,731.25",435-0,Put,7-7s,84,"14,419",393.75
Call,31-3s,12,"6,331","1,568.75",440-0,Put,9-4s,246,"25,153",475.00
Call,28-2s,1,"1,244","1,412.50",445-0,Put,11-3s,60,"9,123",568.75
Call,25-3s,286,"17,642","1,268.75",450-0,Put,13-4s,413,"30,679",675.00
