Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
267-4s,70.82%,0.9730,0.0002,-0.0295,0.1021,+45.56%,Call,07/23/26,220-0,0-1s,53.08%,-0.0026,0.0001,-0.0044,0.0223,+27.82%,Put,07/23/26
257-4s,66.02%,0.9734,0.0002,-0.0267,0.0993,+40.76%,Call,07/23/26,230-0,0-1s,50.31%,-0.0027,0.0001,-0.0043,0.0234,+25.05%,Put,07/23/26
247-4s,61.38%,0.9740,0.0002,-0.0238,0.0957,+36.12%,Call,07/23/26,240-0,0-1s,47.66%,-0.0029,0.0001,-0.0042,0.0246,+22.40%,Put,07/23/26
237-4s,56.88%,0.9747,0.0002,-0.0209,0.0911,+31.62%,Call,07/23/26,250-0,0-1s,45.11%,-0.0030,0.0001,-0.0042,0.0258,+19.85%,Put,07/23/26
227-4s,52.48%,0.9757,0.0002,-0.0179,0.0851,+27.22%,Call,07/23/26,260-0,0-1s,42.66%,-0.0032,0.0001,-0.0041,0.0272,+17.40%,Put,07/23/26
217-4s,48.14%,0.9769,0.0002,-0.0148,0.0775,+22.88%,Call,07/23/26,270-0,0-1s,40.30%,-0.0034,0.0001,-0.0040,0.0286,+15.04%,Put,07/23/26
207-4s,43.79%,0.9784,0.0002,-0.0116,0.0678,+18.53%,Call,07/23/26,280-0,0-1s,38.02%,-0.0036,0.0001,-0.0040,0.0300,+12.76%,Put,07/23/26
197-4s,39.29%,0.9803,0.0002,-0.0083,0.0551,+14.03%,Call,07/23/26,290-0,0-1s,35.82%,-0.0038,0.0001,-0.0039,0.0316,+10.56%,Put,07/23/26
187-4s,34.32%,0.9828,0.0001,-0.0048,0.0376,+9.06%,Call,07/23/26,300-0,0-1s,33.68%,-0.0040,0.0001,-0.0038,0.0334,+8.43%,Put,07/23/26
177-4s,26.56%,0.9864,0.0000,-0.0008,0.0093,+1.30%,Call,07/23/26,310-0,0-1s,31.61%,-0.0043,0.0001,-0.0037,0.0353,+6.36%,Put,07/23/26
167-4s,0.00%,0.9873,0.0000,0.0000,0.0003,-25.26%,Call,07/23/26,320-0,0-2s,32.18%,-0.0079,0.0002,-0.0066,0.0607,+6.92%,Put,07/23/26
157-4s,0.00%,0.9873,0.0000,-0.0001,0.0009,-25.26%,Call,07/23/26,330-0,0-2s,30.08%,-0.0084,0.0003,-0.0065,0.0642,+4.82%,Put,07/23/26
147-4s,0.00%,0.9871,0.0000,-0.0001,0.0026,-25.26%,Call,07/23/26,340-0,0-3s,29.63%,-0.0123,0.0004,-0.0089,0.0893,+4.37%,Put,07/23/26
137-4s,0.00%,0.9867,0.0000,-0.0004,0.0065,-25.26%,Call,07/23/26,350-0,0-3s,27.54%,-0.0132,0.0004,-0.0087,0.0948,+2.28%,Put,07/23/26
127-4s,0.00%,0.9857,0.0001,-0.0009,0.0146,-25.26%,Call,07/23/26,360-0,0-4s,26.63%,-0.0176,0.0006,-0.0107,0.1213,+1.37%,Put,07/23/26
122-5s,0.00%,0.9849,0.0001,-0.0013,0.0212,-25.26%,Call,07/23/26,365-0,0-5s,26.52%,-0.0215,0.0007,-0.0127,0.1439,+1.26%,Put,07/23/26
117-6s,0.00%,0.9838,0.0002,-0.0019,0.0301,-25.26%,Call,07/23/26,370-0,0-6s,26.25%,-0.0255,0.0008,-0.0145,0.1660,+0.99%,Put,07/23/26
112-6s,0.00%,0.9822,0.0003,-0.0026,0.0418,-25.26%,Call,07/23/26,375-0,0-7s,25.87%,-0.0296,0.0009,-0.0162,0.1878,+0.62%,Put,07/23/26
108-0s,0.00%,0.9800,0.0004,-0.0037,0.0570,-25.26%,Call,07/23/26,380-0,1-0,25.41%,-0.0338,0.0011,-0.0177,0.2097,+0.15%,Put,"04:16 CT"
103-1s,0.00%,0.9771,0.0005,-0.0050,0.0763,-25.26%,Call,07/23/26,385-0,1-2s,25.39%,-0.0411,0.0012,-0.0208,0.2456,+0.13%,Put,07/23/26
98-3s,0.00%,0.9733,0.0007,-0.0067,0.1002,-25.26%,Call,07/23/26,390-0,1-4s,25.20%,-0.0484,0.0014,-0.0236,0.2802,-0.06%,Put,07/23/26
93-6s,17.00%,0.9757,0.0006,-0.0050,0.0850,-8.26%,Call,07/23/26,395-0,1-7s,25.27%,-0.0584,0.0016,-0.0276,0.3251,+0.01%,Put,07/23/26
89-0s,17.79%,0.9671,0.0010,-0.0088,0.1365,-7.47%,Call,07/23/26,400-0,2-1,24.81%,-0.0660,0.0018,-0.0298,0.3577,-0.45%,Put,"19:03 CT"
