Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
307-6s,0.00%,0.9923,0.0000,0.0000,0.0000,-23.08%,Call,09/09/26,220-0,0-1s,73.60%,-0.0022,0.0000,-0.0078,0.0164,+50.52%,Put,09/09/26
297-6s,0.00%,0.9923,0.0000,0.0000,0.0000,-23.08%,Call,09/09/26,230-0,0-1s,70.07%,-0.0024,0.0000,-0.0077,0.0172,+46.99%,Put,09/09/26
287-6s,98.88%,0.9705,0.0002,-0.0830,0.1222,+75.80%,Call,09/09/26,240-0,0-1s,66.69%,-0.0025,0.0000,-0.0077,0.0180,+43.61%,Put,09/09/26
277-6s,93.68%,0.9700,0.0002,-0.0802,0.1247,+70.60%,Call,09/09/26,250-0,0-1s,63.45%,-0.0026,0.0001,-0.0076,0.0188,+40.37%,Put,09/09/26
267-6s,88.70%,0.9694,0.0003,-0.0773,0.1271,+65.62%,Call,09/09/26,260-0,0-1s,60.33%,-0.0027,0.0001,-0.0075,0.0197,+37.25%,Put,09/09/26
257-6s,83.92%,0.9689,0.0003,-0.0745,0.1295,+60.84%,Call,09/09/26,270-0,0-1s,57.32%,-0.0029,0.0001,-0.0074,0.0206,+34.24%,Put,09/09/26
247-6s,79.31%,0.9684,0.0003,-0.0716,0.1319,+56.23%,Call,09/09/26,280-0,0-1s,54.43%,-0.0030,0.0001,-0.0074,0.0216,+31.35%,Put,09/09/26
237-6s,74.88%,0.9679,0.0003,-0.0687,0.1342,+51.80%,Call,09/09/26,290-0,0-1s,51.63%,-0.0032,0.0001,-0.0073,0.0226,+28.55%,Put,09/09/26
227-6s,70.61%,0.9674,0.0004,-0.0658,0.1365,+47.53%,Call,09/09/26,300-0,0-1s,48.92%,-0.0034,0.0001,-0.0072,0.0237,+25.84%,Put,09/09/26
217-6s,66.48%,0.9669,0.0004,-0.0628,0.1387,+43.40%,Call,09/09/26,310-0,0-1s,46.29%,-0.0035,0.0001,-0.0071,0.0249,+23.21%,Put,09/09/26
207-6s,62.48%,0.9664,0.0004,-0.0599,0.1409,+39.40%,Call,09/09/26,320-0,0-1s,43.74%,-0.0037,0.0001,-0.0070,0.0261,+20.66%,Put,09/09/26
197-6s,58.62%,0.9660,0.0004,-0.0570,0.1431,+35.54%,Call,09/09/26,330-0,0-1s,41.27%,-0.0040,0.0001,-0.0069,0.0275,+18.19%,Put,09/09/26
187-6s,54.87%,0.9655,0.0005,-0.0540,0.1452,+31.79%,Call,09/09/26,340-0,0-1s,38.86%,-0.0042,0.0001,-0.0068,0.0289,+15.78%,Put,09/09/26
177-6s,51.24%,0.9650,0.0005,-0.0511,0.1473,+28.16%,Call,09/09/26,350-0,0-2s,39.66%,-0.0077,0.0002,-0.0120,0.0497,+16.58%,Put,09/09/26
