Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,24-53s,N/A,N/A,"24,828.13",81.00,Put,0-01s,N/A,N/A,15.63
Call,24-21s,N/A,N/A,"24,328.13",81.50,Put,0-01s,N/A,N/A,15.63
Call,23-53s,N/A,N/A,"23,828.13",82.00,Put,0-01s,N/A,N/A,15.63
Call,23-21s,N/A,N/A,"23,328.13",82.50,Put,0-01s,N/A,N/A,15.63
Call,22-53s,N/A,N/A,"22,828.13",83.00,Put,0-01s,N/A,N/A,15.63
Call,22-21s,N/A,N/A,"22,328.13",83.50,Put,0-01s,N/A,N/A,15.63
Call,21-53s,N/A,N/A,"21,828.13",84.00,Put,0-01s,N/A,N/A,15.63
Call,21-21s,N/A,N/A,"21,328.13",84.50,Put,0-01s,N/A,"1,530",15.63
Call,20-53s,N/A,N/A,"20,828.13",85.00,Put,0-01s,N/A,22,15.63
Call,20-21s,N/A,N/A,"20,328.13",85.50,Put,0-01s,N/A,98,15.63
Call,19-53s,N/A,N/A,"19,828.13",86.00,Put,0-01s,N/A,514,15.63
Call,19-21s,N/A,N/A,"19,328.13",86.50,Put,0-01s,N/A,N/A,15.63
Call,18-53s,N/A,N/A,"18,828.13",87.00,Put,0-01s,N/A,N/A,15.63
Call,18-21s,N/A,N/A,"18,328.13",87.50,Put,0-01s,N/A,"1,005",15.63
Call,17-53s,N/A,N/A,"17,828.13",88.00,Put,0-01s,N/A,N/A,15.63
Call,17-21s,N/A,N/A,"17,328.13",88.50,Put,0-01s,N/A,"2,041",15.63
Call,16-53s,N/A,N/A,"16,828.13",89.00,Put,0-01s,N/A,707,15.63
Call,16-21s,N/A,N/A,"16,328.13",89.50,Put,0-01s,N/A,"9,823",15.63
Call,15-53s,N/A,N/A,"15,828.13",90.00,Put,0-01s,N/A,"17,132",15.63
Call,15-21s,N/A,N/A,"15,328.13",90.50,Put,0-01s,N/A,"3,318",15.63
Call,14-53s,N/A,N/A,"14,828.13",91.00,Put,0-01s,N/A,N/A,15.63
Call,14-21s,N/A,N/A,"14,328.13",91.50,Put,0-01s,N/A,75,15.63
Call,13-53s,N/A,N/A,"13,828.13",92.00,Put,0-01s,N/A,100,15.63
Call,13-21s,N/A,N/A,"13,328.13",92.50,Put,0-01s,N/A,51,15.63
Call,12-53s,N/A,N/A,"12,828.13",93.00,Put,0-01s,N/A,1,15.63
Call,12-21s,N/A,N/A,"12,328.13",93.50,Put,0-01s,N/A,250,15.63
Call,11-53s,N/A,N/A,"11,828.13",94.00,Put,0-01s,N/A,10,15.63
Call,11-21s,N/A,N/A,"11,328.13",94.50,Put,0-01s,N/A,401,15.63
Call,10-53s,N/A,N/A,"10,828.13",95.00,Put,0-01s,N/A,284,15.63
Call,10-21s,N/A,N/A,"10,328.13",95.50,Put,0-01s,N/A,N/A,15.63
Call,9-53s,N/A,N/A,"9,828.13",96.00,Put,0-01s,N/A,50,15.63
Call,9-21s,N/A,N/A,"9,328.13",96.50,Put,0-01s,N/A,"1,240",15.63
Call,8-53s,N/A,N/A,"8,828.13",97.00,Put,0-01s,N/A,141,15.63
Call,8-22s,N/A,N/A,"8,343.75",97.50,Put,0-02s,"6,150","1,480",31.25
Call,7-54s,N/A,N/A,"7,843.75",98.00,Put,0-02s,N/A,"1,243",31.25
Call,7-22s,N/A,N/A,"7,343.75",98.50,Put,0-02s,444,910,31.25
Call,6-54s,N/A,N/A,"6,843.75",99.00,Put,0-02s,1,37,31.25
Call,6-22s,N/A,N/A,"6,343.75",99.50,Put,0-02s,203,148,31.25
Call,5-54s,N/A,N/A,"5,843.75",100.00,Put,0-02s,100,"3,733",31.25
Call,5-23s,25,29,"5,359.38",100.50,Put,0-03s,"2,330","1,405",46.88
Call,4-56s,N/A,258,"4,875.00",101.00,Put,0-04s,57,926,62.50
Call,4-25s,N/A,400,"4,390.63",101.50,Put,0-05s,75,"2,348",78.13
Call,3-59s,N/A,382,"3,921.88",102.00,Put,0-07s,79,"1,590",109.38
Call,3-29s,25,353,"3,453.13",102.50,Put,0-09s,"1,299","8,780",140.63
Call,3-00s,N/A,336,"3,000.00",103.00,Put,0-12s,"2,354","13,488",187.50
Call,2-36s,N/A,212,"2,562.50",103.50,Put,0-16s,902,"7,502",250.00
Call,2-09s,N/A,104,"2,140.63",104.00,Put,0-21s,"4,304","25,022",328.13
Call,1-50s,1,713,"1,781.25",104.50,Put,0-29s,"2,363","21,619",453.13
Call,1-27s,301,"1,020","1,421.88",105.00,Put,0-38s,"3,972","42,474",593.75
Call,1-07s,253,"6,048","1,109.38",105.50,Put,0-50s,"4,810","48,157",781.25
Call,0-54s,"5,799","12,318",843.75,106.00,Put,1-01s,"8,515","56,007","1,015.63"
Call,0-40s,"1,321","20,465",625.00,106.50,Put,1-19s,"4,444","61,576","1,296.88"
Call,0-29s,"6,790","34,327",453.13,107.00,Put,1-40s,"2,092","42,724","1,625.00"
Call,0-20s,"4,221","28,445",312.50,107.50,Put,1-62s,401,"23,916","1,968.75"
Call,0-14s,"6,029","35,481",218.75,108.00,Put,2-24s,237,"20,600","2,375.00"
Call,0-10s,"4,315","29,755",156.25,108.50,Put,2-52s,17,"18,461","2,812.50"
Call,0-07s,"1,092","37,677",109.38,109.00,Put,3-17s,1,"8,359","3,265.63"
Call,0-05s,"3,342","50,267",78.13,109.50,Put,3-47s,1,"2,440","3,734.38"
Call,0-04s,"2,052","45,660",62.50,110.00,Put,4-14s,29,"1,687","4,218.75"
Call,0-03s,8,"36,485",46.88,110.50,Put,4-45s,N/A,940,"4,703.13"
Call,0-02s,97,"19,882",31.25,111.00,Put,5-12s,N/A,887,"5,187.50"
Call,0-02s,N/A,"12,706",31.25,111.50,Put,5-44s,1,188,"5,687.50"
Call,0-02s,385,"15,640",31.25,112.00,Put,6-12s,N/A,733,"6,187.50"
Call,0-02s,N/A,"9,139",31.25,112.50,Put,6-44s,N/A,25,"6,687.50"
Call,0-01s,N/A,"4,209",15.63,113.00,Put,7-11s,N/A,250,"7,171.88"
Call,0-01s,1,"7,928",15.63,113.50,Put,7-43s,N/A,N/A,"7,671.88"
Call,0-01s,N/A,"15,841",15.63,114.00,Put,8-11s,N/A,N/A,"8,171.88"
Call,0-01s,N/A,"2,720",15.63,114.50,Put,8-43s,N/A,N/A,"8,671.88"
Call,0-01s,354,995,15.63,115.00,Put,9-11s,N/A,N/A,"9,171.88"
Call,0-01s,26,"1,323",15.63,115.50,Put,9-43s,N/A,N/A,"9,671.88"
