Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
24-53s,35.43%,0.9659,0.0041,-0.0076,0.0272,+30.01%,Call,09/18/26,81.00,0-01s,25.49%,-0.0044,0.0012,-0.0009,0.0056,+20.07%,Put,09/18/26
24-21s,34.61%,0.9658,0.0042,-0.0074,0.0273,+29.19%,Call,09/18/26,81.50,0-01s,24.96%,-0.0045,0.0012,-0.0009,0.0057,+19.54%,Put,09/18/26
23-53s,33.80%,0.9657,0.0043,-0.0072,0.0274,+28.38%,Call,09/18/26,82.00,0-01s,24.43%,-0.0046,0.0013,-0.0009,0.0058,+19.01%,Put,09/18/26
23-21s,32.99%,0.9656,0.0044,-0.0071,0.0275,+27.57%,Call,09/18/26,82.50,0-01s,23.91%,-0.0047,0.0013,-0.0009,0.0059,+18.49%,Put,09/18/26
22-53s,32.19%,0.9655,0.0046,-0.0069,0.0275,+26.77%,Call,09/18/26,83.00,0-01s,23.38%,-0.0048,0.0014,-0.0009,0.0060,+17.96%,Put,09/18/26
22-21s,31.39%,0.9654,0.0047,-0.0068,0.0276,+25.97%,Call,09/18/26,83.50,0-01s,22.86%,-0.0049,0.0014,-0.0009,0.0061,+17.44%,Put,09/18/26
21-53s,30.60%,0.9653,0.0048,-0.0066,0.0277,+25.18%,Call,09/18/26,84.00,0-01s,22.34%,-0.0050,0.0015,-0.0009,0.0062,+16.92%,Put,09/18/26
21-21s,29.81%,0.9652,0.0050,-0.0064,0.0278,+24.40%,Call,09/18/26,84.50,0-01s,21.82%,-0.0051,0.0016,-0.0009,0.0063,+16.40%,Put,09/18/26
20-53s,29.03%,0.9651,0.0051,-0.0063,0.0279,+23.61%,Call,09/18/26,85.00,0-01s,21.31%,-0.0052,0.0016,-0.0009,0.0065,+15.89%,Put,09/18/26
20-21s,28.25%,0.9650,0.0053,-0.0061,0.0280,+22.84%,Call,09/18/26,85.50,0-01s,20.79%,-0.0053,0.0017,-0.0009,0.0066,+15.38%,Put,09/18/26
19-53s,27.48%,0.9649,0.0055,-0.0060,0.0280,+22.06%,Call,09/18/26,86.00,0-01s,20.28%,-0.0054,0.0018,-0.0009,0.0067,+14.86%,Put,09/18/26
19-21s,26.71%,0.9648,0.0056,-0.0058,0.0281,+21.29%,Call,09/18/26,86.50,0-01s,19.77%,-0.0056,0.0019,-0.0009,0.0069,+14.35%,Put,09/18/26
18-53s,25.95%,0.9647,0.0058,-0.0056,0.0282,+20.53%,Call,09/18/26,87.00,0-01s,19.27%,-0.0057,0.0020,-0.0008,0.0070,+13.85%,Put,09/18/26
18-21s,25.19%,0.9646,0.0060,-0.0055,0.0283,+19.77%,Call,09/18/26,87.50,0-01s,18.76%,-0.0059,0.0020,-0.0008,0.0072,+13.34%,Put,09/18/26
17-53s,24.43%,0.9645,0.0062,-0.0053,0.0284,+19.01%,Call,09/18/26,88.00,0-01s,18.26%,-0.0060,0.0022,-0.0008,0.0074,+12.84%,Put,09/18/26
17-21s,23.68%,0.9644,0.0064,-0.0052,0.0284,+18.26%,Call,09/18/26,88.50,0-01s,17.75%,-0.0062,0.0023,-0.0008,0.0075,+12.33%,Put,09/18/26
16-53s,22.94%,0.9643,0.0066,-0.0050,0.0285,+17.52%,Call,09/18/26,89.00,0-01s,17.25%,-0.0063,0.0024,-0.0008,0.0077,+11.83%,Put,09/18/26
16-21s,22.19%,0.9642,0.0069,-0.0048,0.0286,+16.77%,Call,09/18/26,89.50,0-01s,16.75%,-0.0065,0.0025,-0.0008,0.0079,+11.34%,Put,09/18/26
15-53s,21.45%,0.9641,0.0071,-0.0047,0.0287,+16.04%,Call,09/18/26,90.00,0-01s,16.26%,-0.0067,0.0027,-0.0008,0.0081,+10.84%,Put,09/18/26
15-21s,20.72%,0.9640,0.0074,-0.0045,0.0288,+15.30%,Call,09/18/26,90.50,0-01s,15.76%,-0.0069,0.0028,-0.0008,0.0083,+10.34%,Put,09/18/26
14-53s,19.99%,0.9639,0.0077,-0.0043,0.0288,+14.57%,Call,09/18/26,91.00,0-01s,15.27%,-0.0071,0.0030,-0.0008,0.0085,+9.85%,Put,09/18/26
14-21s,19.26%,0.9638,0.0080,-0.0042,0.0289,+13.85%,Call,09/18/26,91.50,0-01s,14.77%,-0.0073,0.0032,-0.0007,0.0088,+9.35%,Put,09/18/26
13-53s,18.54%,0.9637,0.0084,-0.0040,0.0290,+13.12%,Call,09/18/26,92.00,0-01s,14.28%,-0.0075,0.0034,-0.0007,0.0090,+8.86%,Put,09/18/26
13-21s,17.82%,0.9636,0.0087,-0.0039,0.0291,+12.41%,Call,09/18/26,92.50,0-01s,13.79%,-0.0078,0.0036,-0.0007,0.0093,+8.37%,Put,09/18/26
12-53s,17.11%,0.9635,0.0091,-0.0037,0.0292,+11.69%,Call,09/18/26,93.00,0-01s,13.30%,-0.0081,0.0038,-0.0007,0.0095,+7.88%,Put,09/18/26
12-21s,16.40%,0.9634,0.0095,-0.0035,0.0292,+10.98%,Call,09/18/26,93.50,0-01s,12.81%,-0.0083,0.0041,-0.0007,0.0098,+7.39%,Put,09/18/26
11-53s,15.69%,0.9633,0.0100,-0.0034,0.0293,+10.27%,Call,09/18/26,94.00,0-01s,12.32%,-0.0086,0.0044,-0.0007,0.0101,+6.90%,Put,09/18/26
11-21s,14.99%,0.9632,0.0105,-0.0032,0.0294,+9.57%,Call,09/18/26,94.50,0-01s,11.83%,-0.0090,0.0047,-0.0007,0.0105,+6.42%,Put,09/18/26
10-53s,14.29%,0.9631,0.0110,-0.0031,0.0295,+8.87%,Call,09/18/26,95.00,0-01s,11.35%,-0.0093,0.0051,-0.0006,0.0108,+5.93%,Put,09/18/26
10-21s,13.60%,0.9630,0.0116,-0.0029,0.0295,+8.18%,Call,09/18/26,95.50,0-01s,10.86%,-0.0097,0.0055,-0.0006,0.0112,+5.44%,Put,09/18/26
