Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,25-3s,19,31,"1,268.75",1168-0,Put,12-4s,32,30,625.00
Call,29-5s,"1,909","4,152","1,481.25",1170-0,Put,14-4s,275,"2,444",725.00
Call,26-3,1,675,"1,318.75",1172-0,Put,15-2s,76,24,762.50
Call,25-7s,219,190,"1,293.75",1174-0,Put,15-7s,54,36,793.75
Call,26-2s,58,498,"1,312.50",1176-0,Put,16-0s,63,17,800.00
Call,25-2s,15,53,"1,262.50",1178-0,Put,18-1s,74,47,906.25
Call,22-2,2,"5,392","1,112.50",1180-0,Put,19-2,40,"1,035",962.50
Call,21-3,10,21,"1,068.75",1182-0,Put,19-6s,35,35,987.50
Call,22-2s,94,86,"1,112.50",1184-0,Put,21-0s,34,31,"1,050.00"
Call,20-3s,70,131,"1,018.75",1186-0,Put,22-6s,23,23,"1,137.50"
Call,20-1s,49,99,"1,006.25",1188-0,Put,23-2s,19,15,"1,162.50"
Call,19-4s,"2,161","1,900",975.00,1190-0,Put,24-7s,74,"5,199","1,243.75"
Call,19-0s,490,414,950.00,1192-0,Put,29-0s,10,10,"1,450.00"
Call,14-2,12,"3,366",712.50,1200-0,Put,29-1s,175,"1,181","1,456.25"
Call,12-6,133,"1,544",637.50,1210-0,Put,36-0s,31,"2,000","1,800.00"
Call,8-2s,"2,293","4,306",412.50,1220-0,Put,44-6s,8,32,"2,237.50"
Call,7-2s,"2,757","4,035",362.50,1230-0,Put,52-6s,N/A,384,"2,637.50"
Call,5-7,16,"3,115",293.75,1240-0,Put,61-1s,N/A,26,"3,056.25"
Call,4-3,1,"2,281",218.75,1250-0,Put,69-7s,N/A,14,"3,493.75"
Call,3-0,49,"1,356",150.00,1260-0,Put,79-0s,N/A,1,"3,950.00"
"Downloaded from Barchart.com as of 07-07-2026 03:33am CDT"
