Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,673-6s,N/A,N/A,"33,687.50",520-0,Put,0-1s,N/A,1,6.25
Call,653-6s,N/A,N/A,"32,687.50",540-0,Put,0-1s,N/A,N/A,6.25
Call,633-6s,N/A,N/A,"31,687.50",560-0,Put,0-1s,N/A,N/A,6.25
Call,613-6s,N/A,N/A,"30,687.50",580-0,Put,0-1s,N/A,N/A,6.25
Call,593-6s,N/A,N/A,"29,687.50",600-0,Put,0-1s,N/A,N/A,6.25
Call,573-6s,N/A,N/A,"28,687.50",620-0,Put,0-1s,N/A,N/A,6.25
Call,553-6s,N/A,N/A,"27,687.50",640-0,Put,0-1s,N/A,N/A,6.25
Call,533-6s,N/A,N/A,"26,687.50",660-0,Put,0-1s,N/A,N/A,6.25
Call,513-6s,N/A,N/A,"25,687.50",680-0,Put,0-1s,N/A,N/A,6.25
Call,493-6s,N/A,N/A,"24,687.50",700-0,Put,0-1s,N/A,N/A,6.25
Call,473-6s,N/A,N/A,"23,687.50",720-0,Put,0-1s,N/A,N/A,6.25
Call,453-6s,N/A,N/A,"22,687.50",740-0,Put,0-1s,N/A,N/A,6.25
Call,433-6s,N/A,N/A,"21,687.50",760-0,Put,0-1s,N/A,19,6.25
Call,413-6s,N/A,N/A,"20,687.50",780-0,Put,0-1s,N/A,18,6.25
Call,393-6s,N/A,N/A,"19,687.50",800-0,Put,0-1s,N/A,N/A,6.25
Call,373-6s,N/A,N/A,"18,687.50",820-0,Put,0-1s,N/A,N/A,6.25
Call,353-6s,N/A,N/A,"17,687.50",840-0,Put,0-1s,N/A,N/A,6.25
Call,343-6s,N/A,N/A,"17,187.50",850-0,Put,0-1s,N/A,3,6.25
Call,333-6s,N/A,N/A,"16,687.50",860-0,Put,0-1s,N/A,7,6.25
Call,323-6s,N/A,N/A,"16,187.50",870-0,Put,0-1s,N/A,3,6.25
Call,313-6s,N/A,N/A,"15,687.50",880-0,Put,0-1s,N/A,N/A,6.25
Call,303-6s,N/A,N/A,"15,187.50",890-0,Put,0-1s,N/A,144,6.25
Call,293-6s,N/A,N/A,"14,687.50",900-0,Put,0-1s,N/A,76,6.25
Call,283-6s,N/A,N/A,"14,187.50",910-0,Put,0-1s,N/A,23,6.25
Call,273-6s,N/A,N/A,"13,687.50",920-0,Put,0-1s,N/A,83,6.25
Call,263-6s,N/A,N/A,"13,187.50",930-0,Put,0-1s,N/A,191,6.25
