Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
664-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,520-0,0-1s,0.00%,0.0000,0.0000,0.0000,0.0000,-21.23%,Put,07/06/26
644-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,540-0,0-1s,0.00%,0.0000,0.0000,0.0000,0.0000,-21.23%,Put,07/06/26
624-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,560-0,0-1s,0.00%,0.0000,0.0000,0.0000,0.0000,-21.23%,Put,07/06/26
604-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,580-0,0-1s,0.00%,0.0000,0.0000,0.0000,0.0000,-21.23%,Put,07/06/26
584-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,600-0,0-1s,0.00%,0.0000,0.0000,0.0000,0.0000,-21.23%,Put,07/06/26
564-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,620-0,0-1s,0.00%,0.0000,0.0000,0.0000,0.0000,-21.23%,Put,07/06/26
544-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,640-0,0-1s,0.00%,0.0000,0.0000,0.0000,0.0000,-21.23%,Put,07/06/26
524-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,660-0,0-1s,96.01%,-0.0017,0.0000,-0.0378,0.0138,+74.78%,Put,07/06/26
504-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,680-0,0-1s,91.44%,-0.0018,0.0000,-0.0375,0.0144,+70.21%,Put,07/06/26
484-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,700-0,0-1s,87.00%,-0.0018,0.0000,-0.0372,0.0150,+65.77%,Put,07/06/26
464-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,720-0,0-1s,82.67%,-0.0019,0.0000,-0.0370,0.0157,+61.45%,Put,07/06/26
444-0s,0.00%,0.9982,0.0000,0.0000,0.0000,-21.23%,Call,07/06/26,740-0,0-1s,78.46%,-0.0020,0.0000,-0.0367,0.0165,+57.23%,Put,07/06/26
