Type,Last,Volume,"Open Int","Daily Premium",Strike,Type,Last,Volume,"Open Int","Daily Premium"
Call,630-0,N/A,N/A,"31,500.00",540-0,Put,0-1,N/A,N/A,6.25
Call,610-0,N/A,N/A,"30,500.00",560-0,Put,0-1,N/A,N/A,6.25
Call,590-0,N/A,N/A,"29,500.00",580-0,Put,0-1,N/A,N/A,6.25
Call,570-0,N/A,N/A,"28,500.00",600-0,Put,0-1,N/A,N/A,6.25
Call,550-0,N/A,N/A,"27,500.00",620-0,Put,0-1,N/A,N/A,6.25
Call,530-0,N/A,N/A,"26,500.00",640-0,Put,0-1,N/A,N/A,6.25
Call,510-0,N/A,N/A,"25,500.00",660-0,Put,0-1,N/A,N/A,6.25
Call,490-0,N/A,N/A,"24,500.00",680-0,Put,0-1,N/A,N/A,6.25
Call,470-0,N/A,N/A,"23,500.00",700-0,Put,0-1,N/A,106,6.25
Call,450-0,N/A,N/A,"22,500.00",720-0,Put,0-1,N/A,N/A,6.25
Call,430-0,N/A,N/A,"21,500.00",740-0,Put,0-1,N/A,N/A,6.25
Call,410-0,N/A,N/A,"20,500.00",760-0,Put,0-1,N/A,N/A,6.25
Call,390-0,N/A,N/A,"19,500.00",780-0,Put,0-1,N/A,N/A,6.25
Call,370-0,N/A,N/A,"18,500.00",800-0,Put,0-1,N/A,N/A,6.25
Call,350-0,N/A,N/A,"17,500.00",820-0,Put,0-1,N/A,N/A,6.25
Call,330-0,N/A,N/A,"16,500.00",840-0,Put,0-1,N/A,130,6.25
Call,320-0,N/A,N/A,"16,000.00",850-0,Put,0-1,N/A,N/A,6.25
Call,310-0,N/A,N/A,"15,500.00",860-0,Put,0-1,N/A,88,6.25
Call,300-0,N/A,N/A,"15,000.00",870-0,Put,0-1,N/A,51,6.25
Call,290-0,N/A,N/A,"14,500.00",880-0,Put,0-1,N/A,105,6.25
Call,280-0,N/A,N/A,"14,000.00",890-0,Put,0-1,N/A,72,6.25
Call,270-0,N/A,N/A,"13,500.00",900-0,Put,0-1,N/A,92,6.25
Call,260-0,N/A,N/A,"13,000.00",910-0,Put,0-1,N/A,171,6.25
Call,250-0,N/A,N/A,"12,500.00",920-0,Put,0-1,N/A,441,6.25
Call,240-0,N/A,N/A,"12,000.00",930-0,Put,0-1,N/A,128,6.25
Call,230-0,N/A,N/A,"11,500.00",940-0,Put,0-1,N/A,344,6.25
Call,220-0,N/A,N/A,"11,000.00",950-0,Put,0-1,N/A,116,6.25
Call,210-0,N/A,N/A,"10,500.00",960-0,Put,0-1,N/A,149,6.25
Call,200-0,N/A,N/A,"10,000.00",970-0,Put,0-1,N/A,90,6.25
Call,190-0,N/A,N/A,"9,500.00",980-0,Put,0-1,220,"1,494",6.25
Call,180-0,N/A,N/A,"9,000.00",990-0,Put,0-1,2,250,6.25
Call,170-0,N/A,N/A,"8,500.00",1000-0,Put,0-2,N/A,392,12.50
Call,160-0,N/A,N/A,"8,000.00",1010-0,Put,0-2,N/A,352,12.50
Call,150-1,N/A,1,"7,506.25",1020-0,Put,0-3,N/A,537,18.75
Call,140-2,N/A,N/A,"7,012.50",1030-0,Put,0-4,10,682,25.00
Call,130-3,N/A,3,"6,518.75",1040-0,Put,0-5,200,"1,905",31.25
Call,120-5,N/A,24,"6,031.25",1050-0,Put,0-7,4,"1,082",43.75
Call,110-7,N/A,105,"5,543.75",1060-0,Put,1-1,53,"2,658",56.25
Call,101-3,N/A,205,"5,068.75",1070-0,Put,1-5,70,"1,248",81.25
Call,91-7,16,392,"4,593.75",1080-0,Put,2-2,1,"1,308",112.50
Call,82-6,N/A,299,"4,137.50",1090-0,Put,3-0,38,487,150.00
Call,74-0,N/A,980,"3,700.00",1100-0,Put,4-1,51,"3,023",206.25
Call,65-4,N/A,235,"3,275.00",1110-0,Put,5-6,81,"1,884",287.50
Call,57-5,17,732,"2,881.25",1120-0,Put,7-6,106,"6,318",387.50
Call,50-2,1,"1,624","2,512.50",1130-0,Put,10-4,457,"7,000",525.00
Call,43-5,164,"1,381","2,181.25",1140-0,Put,13-6,168,"2,256",687.50
Call,37-4,6,"2,251","1,875.00",1150-0,Put,17-5,86,"1,626",881.25
