Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,641-2s,N/A,N/A,"32,062.50",540-0,Put,0-1s,N/A,N/A,6.25
Call,621-2s,N/A,N/A,"31,062.50",560-0,Put,0-1s,N/A,N/A,6.25
Call,601-2s,N/A,N/A,"30,062.50",580-0,Put,0-1s,N/A,N/A,6.25
Call,581-2s,N/A,N/A,"29,062.50",600-0,Put,0-1s,N/A,N/A,6.25
Call,561-2s,N/A,N/A,"28,062.50",620-0,Put,0-1s,N/A,N/A,6.25
Call,541-2s,N/A,N/A,"27,062.50",640-0,Put,0-1s,N/A,N/A,6.25
Call,521-2s,N/A,N/A,"26,062.50",660-0,Put,0-1s,N/A,N/A,6.25
Call,501-2s,N/A,N/A,"25,062.50",680-0,Put,0-1s,N/A,N/A,6.25
Call,481-2s,N/A,N/A,"24,062.50",700-0,Put,0-1s,N/A,106,6.25
Call,461-2s,N/A,N/A,"23,062.50",720-0,Put,0-1s,N/A,N/A,6.25
Call,441-2s,N/A,N/A,"22,062.50",740-0,Put,0-1s,N/A,N/A,6.25
Call,421-2s,N/A,N/A,"21,062.50",760-0,Put,0-1s,N/A,N/A,6.25
Call,401-2s,N/A,N/A,"20,062.50",780-0,Put,0-1s,N/A,N/A,6.25
Call,381-2s,N/A,N/A,"19,062.50",800-0,Put,0-1s,N/A,N/A,6.25
Call,361-2s,N/A,N/A,"18,062.50",820-0,Put,0-1s,N/A,N/A,6.25
Call,341-2s,N/A,N/A,"17,062.50",840-0,Put,0-1s,N/A,130,6.25
Call,331-2s,N/A,N/A,"16,562.50",850-0,Put,0-1s,N/A,N/A,6.25
Call,321-2s,N/A,N/A,"16,062.50",860-0,Put,0-1s,N/A,88,6.25
Call,311-2s,N/A,N/A,"15,562.50",870-0,Put,0-1s,N/A,51,6.25
Call,301-2s,N/A,N/A,"15,062.50",880-0,Put,0-1s,N/A,105,6.25
Call,291-2s,N/A,N/A,"14,562.50",890-0,Put,0-1s,N/A,72,6.25
Call,281-2s,N/A,N/A,"14,062.50",900-0,Put,0-1s,N/A,92,6.25
Call,271-2s,N/A,N/A,"13,562.50",910-0,Put,0-1s,N/A,171,6.25
Call,261-2s,N/A,N/A,"13,062.50",920-0,Put,0-1s,N/A,441,6.25
Call,251-2s,N/A,N/A,"12,562.50",930-0,Put,0-1s,N/A,128,6.25
Call,241-2s,N/A,N/A,"12,062.50",940-0,Put,0-1s,N/A,344,6.25
Call,231-2s,N/A,N/A,"11,562.50",950-0,Put,0-1s,N/A,116,6.25
Call,221-2s,N/A,N/A,"11,062.50",960-0,Put,0-1s,N/A,149,6.25
Call,211-2s,N/A,N/A,"10,562.50",970-0,Put,0-1s,N/A,90,6.25
Call,201-2s,N/A,N/A,"10,062.50",980-0,Put,0-1s,N/A,"1,494",6.25
Call,191-2s,N/A,N/A,"9,562.50",990-0,Put,0-1s,N/A,250,6.25
Call,181-2s,N/A,N/A,"9,062.50",1000-0,Put,0-2s,N/A,392,12.50
Call,171-2s,N/A,N/A,"8,562.50",1010-0,Put,0-2s,N/A,352,12.50
Call,161-3s,N/A,1,"8,068.75",1020-0,Put,0-3s,N/A,537,18.75
Call,151-3s,N/A,N/A,"7,568.75",1030-0,Put,0-3s,N/A,682,18.75
Call,141-4s,N/A,3,"7,075.00",1040-0,Put,0-4s,5,"1,905",25.00
Call,131-5s,N/A,24,"6,581.25",1050-0,Put,0-6s,11,"1,082",37.50
Call,121-7s,N/A,105,"6,093.75",1060-0,Put,1-0s,179,"2,658",50.00
Call,112-2s,1,205,"5,612.50",1070-0,Put,1-2s,1,"1,248",62.50
Call,102-5s,5,392,"5,131.25",1080-0,Put,1-5s,156,"1,308",81.25
Call,93-2s,N/A,299,"4,662.50",1090-0,Put,2-2s,2,487,112.50
Call,84-1s,N/A,980,"4,206.25",1100-0,Put,3-1s,147,"3,023",156.25
Call,75-2s,4,235,"3,762.50",1110-0,Put,4-2s,136,"1,884",212.50
Call,66-7s,N/A,732,"3,343.75",1120-0,Put,5-7s,184,"6,318",293.75
Call,59-0s,2,"1,624","2,950.00",1130-0,Put,7-7s,509,"7,000",393.75
Call,51-5s,1,"1,381","2,581.25",1140-0,Put,10-4s,194,"2,256",525.00
Call,44-7s,105,"2,251","2,243.75",1150-0,Put,13-6s,201,"1,626",687.50
Call,38-6s,14,"2,182","1,937.50",1160-0,Put,17-5s,232,"2,320",881.25
Call,33-3s,25,"2,564","1,668.75",1170-0,Put,22-1s,69,"4,292","1,106.25"
Call,28-4s,158,"2,459","1,425.00",1180-0,Put,27-2s,174,"2,596","1,362.50"
Call,24-2s,437,"2,131","1,212.50",1190-0,Put,33-0s,21,"1,846","1,650.00"
Call,20-4s,491,"7,448","1,025.00",1200-0,Put,39-2s,20,160,"1,962.50"
Call,17-3s,125,731,868.75,1210-0,Put,46-0s,28,133,"2,300.00"
Call,14-4s,169,"5,093",725.00,1220-0,Put,53-1s,N/A,27,"2,656.25"
Call,12-2s,2,"1,943",612.50,1230-0,Put,60-6s,N/A,8,"3,037.50"
Call,10-2s,196,"3,039",512.50,1240-0,Put,68-6s,N/A,44,"3,437.50"
Call,8-5s,464,"13,353",431.25,1250-0,Put,77-1s,N/A,41,"3,856.25"
Call,7-2s,37,"1,684",362.50,1260-0,Put,85-6s,N/A,N/A,"4,287.50"
Call,6-0s,206,"1,072",300.00,1270-0,Put,94-4s,N/A,10,"4,725.00"
Call,5-1s,114,"1,918",256.25,1280-0,Put,103-4s,N/A,1,"5,175.00"
Call,4-2s,4,483,212.50,1290-0,Put,112-6s,N/A,10,"5,637.50"
Call,3-5s,147,"7,980",181.25,1300-0,Put,122-0s,N/A,1,"6,100.00"
Call,3-1s,N/A,594,156.25,1310-0,Put,131-4s,N/A,N/A,"6,575.00"
Call,2-5s,25,343,131.25,1320-0,Put,141-0s,N/A,N/A,"7,050.00"
Call,2-2s,1,564,112.50,1330-0,Put,150-5s,N/A,1,"7,531.25"
Call,2-0s,N/A,326,100.00,1340-0,Put,160-3s,N/A,1,"8,018.75"
Call,1-6s,14,"2,785",87.50,1350-0,Put,170-1s,N/A,N/A,"8,506.25"
Call,1-5s,N/A,747,81.25,1360-0,Put,179-7s,N/A,N/A,"8,993.75"
Call,1-3s,N/A,174,68.75,1370-0,Put,189-6s,N/A,N/A,"9,487.50"
Call,1-2s,113,"3,140",62.50,1380-0,Put,199-4s,N/A,N/A,"9,975.00"
Call,1-1s,N/A,43,56.25,1390-0,Put,209-3s,N/A,N/A,"10,468.75"
Call,1-0s,102,"13,685",50.00,1400-0,Put,219-3s,N/A,12,"10,968.75"
Call,1-0s,N/A,84,50.00,1410-0,Put,229-2s,N/A,N/A,"11,462.50"
Call,0-7s,N/A,446,43.75,1420-0,Put,239-1s,N/A,N/A,"11,956.25"
Call,0-7s,N/A,19,43.75,1430-0,Put,249-1s,N/A,N/A,"12,456.25"
Call,0-6s,N/A,217,37.50,1440-0,Put,259-0s,N/A,N/A,"12,950.00"
Call,0-6s,7,224,37.50,1450-0,Put,269-0s,N/A,N/A,"13,450.00"
Call,0-5s,N/A,413,31.25,1460-0,Put,278-7s,N/A,N/A,"13,943.75"
Call,0-5s,N/A,100,31.25,1470-0,Put,288-7s,N/A,N/A,"14,443.75"
Call,0-4s,N/A,328,25.00,1480-0,Put,298-7s,N/A,N/A,"14,943.75"
Call,0-4s,50,483,25.00,1500-0,Put,318-6s,N/A,N/A,"15,937.50"
Call,0-3s,N/A,141,18.75,1520-0,Put,338-6s,N/A,N/A,"16,937.50"
Call,0-2s,N/A,163,12.50,1540-0,Put,358-6s,N/A,N/A,"17,937.50"
Call,0-2s,N/A,195,12.50,1560-0,Put,378-6s,N/A,N/A,"18,937.50"
Call,0-2s,N/A,230,12.50,1580-0,Put,398-6s,N/A,N/A,"19,937.50"
Call,0-2s,N/A,291,12.50,1600-0,Put,418-6s,N/A,N/A,"20,937.50"
Call,0-1s,N/A,54,6.25,1620-0,Put,438-6s,N/A,N/A,"21,937.50"
Call,0-1s,N/A,64,6.25,1640-0,Put,458-6s,N/A,N/A,"22,937.50"
Call,0-1s,N/A,83,6.25,1660-0,Put,478-6s,N/A,N/A,"23,937.50"
Call,0-1s,N/A,30,6.25,1680-0,Put,498-6s,N/A,N/A,"24,937.50"
Call,0-1s,N/A,103,6.25,1700-0,Put,518-6s,N/A,N/A,"25,937.50"
Call,0-1s,N/A,19,6.25,1720-0,Put,538-6s,N/A,N/A,"26,937.50"
Call,0-1s,N/A,94,6.25,1740-0,Put,558-6s,N/A,N/A,"27,937.50"
Call,0-1s,N/A,38,6.25,1760-0,Put,578-6s,N/A,N/A,"28,937.50"
Call,0-1s,N/A,50,6.25,1780-0,Put,598-6s,N/A,N/A,"29,937.50"
Call,0-1s,N/A,246,6.25,1800-0,Put,618-6s,N/A,N/A,"30,937.50"
Call,0-1s,N/A,204,6.25,1900-0,Put,718-6s,N/A,N/A,"35,937.50"
Call,0-1s,N/A,163,6.25,2000-0,Put,818-6s,N/A,N/A,"40,937.50"
Call,0-1s,N/A,24,6.25,2100-0,Put,918-6s,N/A,N/A,"45,937.50"
Call,0-1s,N/A,65,6.25,2200-0,Put,1018-6s,N/A,N/A,"50,937.50"
Call,0-1s,N/A,10,6.25,2300-0,Put,1118-6s,N/A,N/A,"55,937.50"
Call,0-1s,N/A,N/A,6.25,2400-0,Put,1218-6s,N/A,N/A,"60,937.50"
Call,0-1s,N/A,355,6.25,2500-0,Put,1318-6s,N/A,N/A,"65,937.50"
Call,0-1s,N/A,N/A,6.25,2600-0,Put,1418-6s,N/A,N/A,"70,937.50"
Call,0-1s,N/A,N/A,6.25,2700-0,Put,1518-6s,N/A,N/A,"75,937.50"
Call,0-1s,N/A,1,6.25,2800-0,Put,1618-6s,N/A,N/A,"80,937.50"
Call,0-1s,N/A,N/A,6.25,2900-0,Put,1718-6s,N/A,N/A,"85,937.50"
Call,0-1s,N/A,"1,555",6.25,3000-0,Put,1818-6s,N/A,N/A,"90,937.50"
"Downloaded from Barchart.com as of 07-11-2026 09:08pm CDT"
