Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
630-0s,0.00%,0.9957,0.0000,0.0000,0.0000,-17.28%,Call,07/09/26,540-0,0-1s,79.27%,-0.0013,0.0000,-0.0152,0.0171,+61.98%,Put,07/09/26
610-0s,0.00%,0.9957,0.0000,0.0000,0.0000,-17.28%,Call,07/09/26,560-0,0-1s,75.74%,-0.0014,0.0000,-0.0151,0.0178,+58.46%,Put,07/09/26
590-0s,0.00%,0.9957,0.0000,0.0000,0.0000,-17.28%,Call,07/09/26,580-0,0-1s,72.34%,-0.0014,0.0000,-0.0150,0.0185,+55.05%,Put,07/09/26
570-0s,0.00%,0.9957,0.0000,0.0000,0.0000,-17.28%,Call,07/09/26,600-0,0-1s,69.05%,-0.0015,0.0000,-0.0149,0.0193,+51.76%,Put,07/09/26
550-0s,97.30%,0.9773,0.0001,-0.2042,0.1783,+80.02%,Call,07/09/26,620-0,0-1s,65.86%,-0.0016,0.0000,-0.0148,0.0202,+48.58%,Put,07/09/26
530-0s,92.50%,0.9769,0.0001,-0.1978,0.1818,+75.21%,Call,07/09/26,640-0,0-1s,62.77%,-0.0016,0.0000,-0.0147,0.0211,+45.49%,Put,07/09/26
510-0s,87.84%,0.9765,0.0001,-0.1914,0.1854,+70.56%,Call,07/09/26,660-0,0-1s,59.77%,-0.0017,0.0000,-0.0146,0.0220,+42.49%,Put,07/09/26
490-0s,83.33%,0.9760,0.0001,-0.1849,0.1890,+66.05%,Call,07/09/26,680-0,0-1s,56.86%,-0.0018,0.0000,-0.0144,0.0230,+39.58%,Put,07/09/26
470-0s,78.95%,0.9756,0.0002,-0.1785,0.1926,+61.67%,Call,07/09/26,700-0,0-1s,54.03%,-0.0019,0.0000,-0.0143,0.0241,+36.74%,Put,07/09/26
450-0s,74.71%,0.9751,0.0002,-0.1720,0.1964,+57.42%,Call,07/09/26,720-0,0-1s,51.27%,-0.0020,0.0000,-0.0141,0.0252,+33.99%,Put,07/09/26
430-0s,70.58%,0.9746,0.0002,-0.1655,0.2002,+53.29%,Call,07/09/26,740-0,0-1s,48.58%,-0.0021,0.0000,-0.0140,0.0264,+31.30%,Put,07/09/26
410-0s,66.56%,0.9742,0.0002,-0.1589,0.2041,+49.28%,Call,07/09/26,760-0,0-1s,45.96%,-0.0022,0.0000,-0.0138,0.0277,+28.67%,Put,07/09/26
390-0s,62.65%,0.9736,0.0002,-0.1524,0.2082,+45.37%,Call,07/09/26,780-0,0-1s,43.40%,-0.0024,0.0000,-0.0136,0.0291,+26.11%,Put,07/09/26
370-0s,58.84%,0.9731,0.0002,-0.1458,0.2124,+41.56%,Call,07/09/26,800-0,0-1s,40.89%,-0.0025,0.0000,-0.0134,0.0307,+23.61%,Put,07/09/26
350-0s,55.13%,0.9726,0.0002,-0.1392,0.2167,+37.85%,Call,07/09/26,820-0,0-1s,38.44%,-0.0026,0.0001,-0.0132,0.0324,+21.16%,Put,07/09/26
330-0s,51.51%,0.9720,0.0003,-0.1326,0.2213,+34.22%,Call,07/09/26,840-0,0-1s,36.05%,-0.0028,0.0001,-0.0130,0.0342,+18.76%,Put,07/09/26
320-0s,49.73%,0.9717,0.0003,-0.1293,0.2237,+32.45%,Call,07/09/26,850-0,0-1s,34.86%,-0.0029,0.0001,-0.0129,0.0352,+17.58%,Put,07/09/26
310-0s,47.97%,0.9714,0.0003,-0.1260,0.2262,+30.69%,Call,07/09/26,860-0,0-1s,33.69%,-0.0030,0.0001,-0.0128,0.0362,+16.41%,Put,07/09/26
300-0s,46.24%,0.9710,0.0003,-0.1227,0.2287,+28.95%,Call,07/09/26,870-0,0-1s,32.53%,-0.0031,0.0001,-0.0127,0.0373,+15.25%,Put,07/09/26
