Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,722-6s,N/A,N/A,"36,137.50",500-0,Put,0-1s,N/A,N/A,6.25
Call,702-6s,N/A,N/A,"35,137.50",520-0,Put,0-1s,N/A,N/A,6.25
Call,682-6s,N/A,N/A,"34,137.50",540-0,Put,0-1s,N/A,355,6.25
Call,662-6s,N/A,N/A,"33,137.50",560-0,Put,0-1s,N/A,N/A,6.25
Call,642-6s,N/A,N/A,"32,137.50",580-0,Put,0-1s,N/A,N/A,6.25
Call,622-6s,N/A,N/A,"31,137.50",600-0,Put,0-1s,N/A,355,6.25
Call,602-6s,N/A,N/A,"30,137.50",620-0,Put,0-1s,N/A,N/A,6.25
Call,582-6s,N/A,N/A,"29,137.50",640-0,Put,0-1s,N/A,N/A,6.25
Call,562-6s,N/A,N/A,"28,137.50",660-0,Put,0-1s,N/A,25,6.25
Call,542-6s,N/A,N/A,"27,137.50",680-0,Put,0-1s,N/A,12,6.25
Call,522-6s,N/A,N/A,"26,137.50",700-0,Put,0-1s,N/A,10,6.25
Call,502-6s,N/A,N/A,"25,137.50",720-0,Put,0-1s,N/A,124,6.25
Call,482-6s,N/A,N/A,"24,137.50",740-0,Put,0-1s,N/A,N/A,6.25
Call,462-6s,N/A,N/A,"23,137.50",760-0,Put,0-1s,N/A,1,6.25
Call,442-6s,N/A,N/A,"22,137.50",780-0,Put,0-1s,N/A,N/A,6.25
Call,422-6s,N/A,N/A,"21,137.50",800-0,Put,0-1s,N/A,"5,026",6.25
Call,402-6s,N/A,N/A,"20,137.50",820-0,Put,0-1s,N/A,374,6.25
Call,382-6s,N/A,N/A,"19,137.50",840-0,Put,0-1s,N/A,"3,496",6.25
Call,372-6s,N/A,N/A,"18,637.50",850-0,Put,0-1s,N/A,151,6.25
Call,362-6s,N/A,N/A,"18,137.50",860-0,Put,0-1s,N/A,61,6.25
Call,352-6s,N/A,N/A,"17,637.50",870-0,Put,0-1s,N/A,N/A,6.25
Call,342-6s,N/A,N/A,"17,137.50",880-0,Put,0-1s,N/A,"2,011",6.25
Call,332-6s,N/A,N/A,"16,637.50",890-0,Put,0-2s,N/A,23,12.50
Call,322-6s,N/A,N/A,"16,137.50",900-0,Put,0-2s,N/A,975,12.50
Call,312-6s,N/A,N/A,"15,637.50",910-0,Put,0-2s,N/A,187,12.50
Call,302-6s,N/A,N/A,"15,137.50",920-0,Put,0-2s,N/A,170,12.50
Call,292-6s,N/A,N/A,"14,637.50",930-0,Put,0-2s,N/A,213,12.50
Call,282-6s,N/A,N/A,"14,137.50",940-0,Put,0-3s,N/A,"1,543",18.75
Call,272-6s,N/A,3,"13,637.50",950-0,Put,0-3s,N/A,216,18.75
Call,262-6s,N/A,N/A,"13,137.50",960-0,Put,0-3s,26,463,18.75
Call,252-6s,N/A,N/A,"12,637.50",970-0,Put,0-4s,12,717,25.00
Call,242-6s,N/A,N/A,"12,137.50",980-0,Put,0-4s,10,"1,538",25.00
Call,232-6s,N/A,N/A,"11,637.50",990-0,Put,0-6s,5,"3,616",37.50
Call,222-6s,N/A,498,"11,137.50",1000-0,Put,0-6s,14,"8,604",37.50
Call,212-7s,N/A,N/A,"10,643.75",1010-0,Put,0-6s,27,580,37.50
Call,202-7s,N/A,219,"10,143.75",1020-0,Put,0-7s,104,"2,291",43.75
Call,193-0s,N/A,9,"9,650.00",1030-0,Put,1-1s,2,"2,395",56.25
Call,183-2s,N/A,648,"9,162.50",1040-0,Put,1-2s,75,"2,475",62.50
Call,173-4s,N/A,159,"8,675.00",1050-0,Put,1-5s,145,"5,435",81.25
