Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,796-4s,N/A,N/A,"39,825.00",500-0,Put,0-1s,N/A,N/A,6.25
Call,776-4s,N/A,N/A,"38,825.00",520-0,Put,0-1s,N/A,N/A,6.25
Call,756-4s,N/A,N/A,"37,825.00",540-0,Put,0-1s,N/A,355,6.25
Call,736-4s,N/A,N/A,"36,825.00",560-0,Put,0-1s,N/A,N/A,6.25
Call,716-4s,N/A,N/A,"35,825.00",580-0,Put,0-1s,N/A,N/A,6.25
Call,696-4s,N/A,N/A,"34,825.00",600-0,Put,0-1s,N/A,355,6.25
Call,676-4s,N/A,N/A,"33,825.00",620-0,Put,0-1s,N/A,N/A,6.25
Call,656-4s,N/A,N/A,"32,825.00",640-0,Put,0-1s,N/A,N/A,6.25
Call,636-4s,N/A,N/A,"31,825.00",660-0,Put,0-1s,N/A,25,6.25
Call,616-4s,N/A,N/A,"30,825.00",680-0,Put,0-1s,N/A,12,6.25
Call,596-4s,N/A,N/A,"29,825.00",700-0,Put,0-1s,N/A,10,6.25
Call,576-4s,N/A,N/A,"28,825.00",720-0,Put,0-1s,N/A,124,6.25
Call,556-4s,N/A,N/A,"27,825.00",740-0,Put,0-1s,N/A,N/A,6.25
Call,536-4s,N/A,N/A,"26,825.00",760-0,Put,0-1s,N/A,1,6.25
Call,516-4s,N/A,N/A,"25,825.00",780-0,Put,0-1s,N/A,N/A,6.25
Call,496-4s,N/A,N/A,"24,825.00",800-0,Put,0-1s,N/A,"5,576",6.25
Call,476-4s,N/A,N/A,"23,825.00",820-0,Put,0-1s,N/A,595,6.25
Call,456-4s,N/A,N/A,"22,825.00",840-0,Put,0-1s,N/A,"3,496",6.25
Call,446-4s,N/A,N/A,"22,325.00",850-0,Put,0-1s,N/A,434,6.25
Call,436-4s,N/A,N/A,"21,825.00",860-0,Put,0-1s,N/A,122,6.25
Call,426-4s,N/A,N/A,"21,325.00",870-0,Put,0-1s,N/A,N/A,6.25
Call,416-4s,N/A,N/A,"20,825.00",880-0,Put,0-1s,N/A,"2,055",6.25
Call,406-4s,N/A,N/A,"20,325.00",890-0,Put,0-1s,N/A,100,6.25
Call,396-4s,N/A,N/A,"19,825.00",900-0,Put,0-1s,N/A,"1,072",6.25
Call,386-4s,N/A,N/A,"19,325.00",910-0,Put,0-2s,N/A,214,12.50
Call,376-4s,N/A,N/A,"18,825.00",920-0,Put,0-2s,N/A,559,12.50
Call,366-4s,N/A,N/A,"18,325.00",930-0,Put,0-2s,N/A,213,12.50
Call,356-4s,N/A,N/A,"17,825.00",940-0,Put,0-2s,N/A,"1,615",12.50
Call,346-4s,N/A,N/A,"17,325.00",950-0,Put,0-2s,N/A,277,12.50
Call,336-4s,N/A,N/A,"16,825.00",960-0,Put,0-2s,N/A,604,12.50
Call,326-4s,N/A,N/A,"16,325.00",970-0,Put,0-2s,N/A,736,12.50
Call,316-4s,N/A,N/A,"15,825.00",980-0,Put,0-2s,N/A,"1,562",12.50
Call,306-4s,N/A,N/A,"15,325.00",990-0,Put,0-2s,N/A,"3,617",12.50
Call,296-4s,1,"1,202","14,825.00",1000-0,Put,0-3s,N/A,"8,127",18.75
Call,286-4s,N/A,N/A,"14,325.00",1010-0,Put,0-3s,12,"1,009",18.75
Call,276-4s,N/A,158,"13,825.00",1020-0,Put,0-3s,26,"2,262",18.75
Call,266-4s,N/A,N/A,"13,325.00",1030-0,Put,0-3s,17,"2,710",18.75
Call,256-4s,N/A,139,"12,825.00",1040-0,Put,0-3s,10,"2,444",18.75
Call,246-4s,N/A,112,"12,325.00",1050-0,Put,0-3s,21,"5,073",18.75
Call,236-5s,N/A,968,"11,831.25",1060-0,Put,0-4s,4,"2,977",25.00
Call,226-5s,N/A,"1,112","11,331.25",1070-0,Put,0-4s,1,"4,634",25.00
Call,216-6s,N/A,"3,356","10,837.50",1080-0,Put,0-5s,1,"6,885",31.25
Call,206-6s,14,817,"10,337.50",1090-0,Put,0-5s,51,"2,552",31.25
Call,196-6s,1,"4,083","9,837.50",1100-0,Put,0-6s,317,"11,938",37.50
Call,186-7s,N/A,844,"9,343.75",1110-0,Put,0-6s,50,"3,998",37.50
Call,177-0s,N/A,"3,132","8,850.00",1120-0,Put,0-7s,84,"7,481",43.75
Call,167-1s,14,921,"8,356.25",1130-0,Put,1-0s,N/A,"4,226",50.00
Call,157-1s,5,"3,531","7,856.25",1140-0,Put,1-0s,118,"5,869",50.00
Call,147-3s,N/A,"3,010","7,368.75",1150-0,Put,1-2s,269,"7,957",62.50
Call,137-4s,23,"5,392","6,875.00",1160-0,Put,1-3s,56,"4,809",68.75
Call,127-6s,2,"1,729","6,387.50",1170-0,Put,1-5s,12,"5,654",81.25
Call,118-1s,8,"4,563","5,906.25",1180-0,Put,2-0s,322,"9,530",100.00
Call,108-5s,N/A,"2,898","5,431.25",1190-0,Put,2-4s,195,"5,509",125.00
Call,99-4s,179,"14,646","4,975.00",1200-0,Put,3-2s,937,"23,868",162.50
Call,90-4s,4,"1,931","4,525.00",1210-0,Put,4-2s,74,"3,273",212.50
Call,81-6s,19,"4,813","4,087.50",1220-0,Put,5-4s,"1,433","8,356",275.00
Call,73-3s,4,"2,808","3,668.75",1230-0,Put,7-1s,"1,230","4,651",356.25
Call,65-5s,203,"5,560","3,281.25",1240-0,Put,9-2s,809,"10,791",462.50
Call,58-3s,157,"10,366","2,918.75",1250-0,Put,12-0s,"4,066","8,343",600.00
Call,51-5s,130,"9,187","2,581.25",1260-0,Put,15-2s,"6,366","9,692",762.50
Call,45-3s,522,"2,947","2,268.75",1270-0,Put,19-0s,232,"2,093",950.00
Call,39-6s,920,"9,224","1,987.50",1280-0,Put,23-3s,"2,092","3,720","1,168.75"
Call,34-6s,450,"3,476","1,737.50",1290-0,Put,28-2s,"2,779","4,091","1,412.50"
Call,30-1s,"3,580","17,343","1,506.25",1300-0,Put,33-5s,"4,365","6,458","1,681.25"
Call,26-1s,"1,721","2,607","1,306.25",1310-0,Put,39-4s,896,"4,356","1,975.00"
Call,22-5s,928,"7,570","1,131.25",1320-0,Put,46-0s,"2,536","1,578","2,300.00"
Call,19-4s,"1,338","2,825",975.00,1330-0,Put,52-7s,3,520,"2,643.75"
Call,16-7s,870,"32,423",843.75,1340-0,Put,60-2s,10,26,"3,012.50"
Call,14-4s,"12,706","15,907",725.00,1350-0,Put,67-6s,N/A,24,"3,387.50"
Call,12-3s,511,"7,184",618.75,1360-0,Put,75-5s,N/A,25,"3,781.25"
Call,10-5s,431,"1,084",531.25,1370-0,Put,83-7s,N/A,38,"4,193.75"
Call,9-1s,450,"16,587",456.25,1380-0,Put,92-3s,N/A,62,"4,618.75"
Call,7-7s,112,"1,058",393.75,1390-0,Put,101-0s,N/A,N/A,"5,050.00"
Call,6-6s,"2,184","28,608",337.50,1400-0,Put,109-7s,N/A,10,"5,493.75"
Call,5-6s,308,528,287.50,1410-0,Put,118-7s,N/A,N/A,"5,943.75"
Call,4-7s,173,"1,613",243.75,1420-0,Put,128-0s,N/A,N/A,"6,400.00"
Call,4-2s,134,"1,810",212.50,1430-0,Put,137-2s,N/A,N/A,"6,862.50"
Call,3-5s,136,472,181.25,1440-0,Put,146-6s,N/A,N/A,"7,337.50"
Call,3-1s,"3,229","4,188",156.25,1450-0,Put,156-2s,N/A,N/A,"7,812.50"
Call,2-6s,263,"3,313",137.50,1460-0,Put,165-6s,N/A,N/A,"8,287.50"
Call,2-3s,"1,097","1,292",118.75,1470-0,Put,175-3s,N/A,N/A,"8,768.75"
Call,2-0s,219,"1,032",100.00,1480-0,Put,185-0s,N/A,N/A,"9,250.00"
Call,1-6s,25,77,87.50,1490-0,Put,194-6s,N/A,N/A,"9,737.50"
Call,1-4s,490,"6,184",75.00,1500-0,Put,204-4s,N/A,N/A,"10,225.00"
Call,1-3s,105,168,68.75,1510-0,Put,214-3s,N/A,N/A,"10,718.75"
Call,1-2s,2,144,62.50,1520-0,Put,224-2s,N/A,N/A,"11,212.50"
Call,1-1s,20,128,56.25,1530-0,Put,234-1s,N/A,N/A,"11,706.25"
Call,1-0s,50,358,50.00,1540-0,Put,244-0s,N/A,N/A,"12,200.00"
Call,0-7s,3,213,43.75,1550-0,Put,253-7s,N/A,N/A,"12,693.75"
Call,0-6s,1,"4,446",37.50,1560-0,Put,263-6s,N/A,N/A,"13,187.50"
Call,0-6s,N/A,61,37.50,1570-0,Put,273-6s,N/A,N/A,"13,687.50"
Call,0-5s,N/A,351,31.25,1580-0,Put,283-5s,N/A,51,"14,181.25"
Call,0-5s,N/A,100,31.25,1590-0,Put,293-5s,N/A,N/A,"14,681.25"
Call,0-4s,5,"3,424",25.00,1600-0,Put,303-5s,N/A,N/A,"15,181.25"
Call,0-4s,50,26,25.00,1610-0,Put,313-4s,N/A,N/A,"15,675.00"
Call,0-3s,N/A,300,18.75,1620-0,Put,323-4s,N/A,N/A,"16,175.00"
Call,0-3s,N/A,N/A,18.75,1630-0,Put,333-4s,N/A,N/A,"16,675.00"
Call,0-3s,5,107,18.75,1640-0,Put,343-4s,N/A,N/A,"17,175.00"
Call,0-3s,N/A,150,18.75,1650-0,Put,353-4s,N/A,N/A,"17,675.00"
Call,0-3s,N/A,297,18.75,1660-0,Put,363-4s,N/A,N/A,"18,175.00"
Call,0-2s,N/A,122,12.50,1680-0,Put,383-4s,N/A,N/A,"19,175.00"
Call,0-2s,N/A,"4,339",12.50,1700-0,Put,403-4s,N/A,N/A,"20,175.00"
Call,0-2s,N/A,235,12.50,1720-0,Put,423-4s,N/A,N/A,"21,175.00"
Call,0-1s,N/A,53,6.25,1740-0,Put,443-4s,N/A,N/A,"22,175.00"
Call,0-1s,N/A,194,6.25,1760-0,Put,463-4s,N/A,N/A,"23,175.00"
Call,0-1s,N/A,75,6.25,1780-0,Put,483-4s,N/A,N/A,"24,175.00"
Call,0-1s,N/A,88,6.25,1800-0,Put,503-4s,N/A,N/A,"25,175.00"
Call,0-1s,N/A,N/A,6.25,1820-0,Put,523-4s,N/A,N/A,"26,175.00"
Call,0-1s,N/A,N/A,6.25,1840-0,Put,543-4s,N/A,N/A,"27,175.00"
Call,0-1s,N/A,N/A,6.25,1860-0,Put,563-4s,N/A,N/A,"28,175.00"
Call,0-1s,N/A,127,6.25,1900-0,Put,603-4s,N/A,N/A,"30,175.00"
Call,0-1s,N/A,421,6.25,2000-0,Put,703-4s,N/A,N/A,"35,175.00"
Call,0-1s,N/A,526,6.25,3000-0,Put,1703-4s,N/A,N/A,"85,175.00"
"Downloaded from Barchart.com as of 09-12-2026 07:06am CDT"
