Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
722-6s,0.00%,0.9902,0.0000,0.0000,0.0000,-17.87%,Call,07/21/26,500-0,0-1s,60.63%,-0.0011,0.0000,-0.0066,0.0227,+42.76%,Put,07/21/26
702-6s,98.54%,0.9654,0.0001,-0.1866,0.3592,+80.67%,Call,07/21/26,520-0,0-1s,58.10%,-0.0011,0.0000,-0.0065,0.0236,+40.23%,Put,07/21/26
682-6s,94.10%,0.9649,0.0001,-0.1815,0.3660,+76.23%,Call,07/21/26,540-0,0-1s,55.67%,-0.0012,0.0000,-0.0065,0.0246,+37.80%,Put,07/21/26
662-6s,89.84%,0.9643,0.0001,-0.1763,0.3728,+71.97%,Call,07/21/26,560-0,0-1s,53.32%,-0.0012,0.0000,-0.0064,0.0255,+35.45%,Put,07/21/26
642-6s,85.74%,0.9638,0.0001,-0.1711,0.3794,+67.87%,Call,07/21/26,580-0,0-1s,51.06%,-0.0013,0.0000,-0.0063,0.0266,+33.18%,Put,07/21/26
622-6s,81.78%,0.9632,0.0001,-0.1659,0.3859,+63.91%,Call,07/21/26,600-0,0-1s,48.86%,-0.0014,0.0000,-0.0063,0.0276,+30.99%,Put,07/21/26
602-6s,77.97%,0.9627,0.0001,-0.1606,0.3923,+60.10%,Call,07/21/26,620-0,0-1s,46.74%,-0.0014,0.0000,-0.0062,0.0288,+28.87%,Put,07/21/26
582-6s,74.28%,0.9622,0.0001,-0.1553,0.3986,+56.41%,Call,07/21/26,640-0,0-1s,44.69%,-0.0015,0.0000,-0.0061,0.0300,+26.82%,Put,07/21/26
562-6s,70.71%,0.9616,0.0001,-0.1499,0.4048,+52.84%,Call,07/21/26,660-0,0-1s,42.70%,-0.0016,0.0000,-0.0061,0.0312,+24.83%,Put,07/21/26
542-6s,67.25%,0.9611,0.0002,-0.1446,0.4109,+49.38%,Call,07/21/26,680-0,0-1s,40.76%,-0.0016,0.0000,-0.0060,0.0325,+22.89%,Put,07/21/26
522-6s,63.90%,0.9606,0.0002,-0.1392,0.4170,+46.03%,Call,07/21/26,700-0,0-1s,38.88%,-0.0017,0.0000,-0.0059,0.0339,+21.01%,Put,07/21/26
502-6s,60.65%,0.9601,0.0002,-0.1338,0.4229,+42.77%,Call,07/21/26,720-0,0-1s,37.05%,-0.0018,0.0000,-0.0058,0.0354,+19.17%,Put,07/21/26
482-6s,57.49%,0.9596,0.0002,-0.1284,0.4287,+39.61%,Call,07/21/26,740-0,0-1s,35.26%,-0.0019,0.0000,-0.0058,0.0370,+17.39%,Put,07/21/26
462-6s,54.41%,0.9591,0.0002,-0.1229,0.4345,+36.54%,Call,07/21/26,760-0,0-1s,33.52%,-0.0020,0.0000,-0.0057,0.0387,+15.65%,Put,07/21/26
442-6s,51.42%,0.9586,0.0002,-0.1175,0.4402,+33.55%,Call,07/21/26,780-0,0-1s,31.82%,-0.0021,0.0000,-0.0056,0.0405,+13.95%,Put,07/21/26
422-6s,48.51%,0.9581,0.0002,-0.1120,0.4458,+30.64%,Call,07/21/26,800-0,0-1s,30.16%,-0.0022,0.0000,-0.0055,0.0424,+12.29%,Put,07/21/26
402-6s,45.68%,0.9576,0.0003,-0.1065,0.4513,+27.80%,Call,07/21/26,820-0,0-1s,28.54%,-0.0023,0.0000,-0.0054,0.0445,+10.67%,Put,07/21/26
382-6s,42.91%,0.9571,0.0003,-0.1010,0.4568,+25.04%,Call,07/21/26,840-0,0-1s,26.95%,-0.0024,0.0000,-0.0053,0.0468,+9.08%,Put,07/21/26
372-6s,41.55%,0.9569,0.0003,-0.0983,0.4595,+23.68%,Call,07/21/26,850-0,0-1s,26.17%,-0.0025,0.0000,-0.0052,0.0480,+8.30%,Put,07/21/26
362-6s,40.21%,0.9567,0.0003,-0.0955,0.4622,+22.34%,Call,07/21/26,860-0,0-1s,25.39%,-0.0026,0.0001,-0.0051,0.0493,+7.52%,Put,07/21/26
352-6s,38.89%,0.9564,0.0003,-0.0928,0.4649,+21.01%,Call,07/21/26,870-0,0-1s,24.63%,-0.0026,0.0001,-0.0051,0.0506,+6.75%,Put,07/21/26
342-6s,37.58%,0.9562,0.0003,-0.0900,0.4676,+19.70%,Call,07/21/26,880-0,0-1s,23.87%,-0.0027,0.0001,-0.0050,0.0519,+6.00%,Put,07/21/26
