Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
803-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,500-0,0-1s,0.00%,0.0000,0.0000,0.0000,0.0000,-17.51%,Put,09/18/26
783-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,520-0,0-1s,0.00%,0.0000,0.0000,0.0000,0.0000,-17.51%,Put,09/18/26
763-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,540-0,0-1s,97.38%,-0.0011,0.0000,-0.0190,0.0143,+79.87%,Put,09/18/26
743-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,560-0,0-1s,93.55%,-0.0011,0.0000,-0.0189,0.0148,+76.05%,Put,09/18/26
723-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,580-0,0-1s,89.86%,-0.0011,0.0000,-0.0188,0.0154,+72.36%,Put,09/18/26
703-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,600-0,0-1s,86.30%,-0.0012,0.0000,-0.0187,0.0159,+68.79%,Put,09/18/26
683-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,620-0,0-1s,82.85%,-0.0012,0.0000,-0.0186,0.0165,+65.34%,Put,09/18/26
663-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,640-0,0-1s,79.50%,-0.0013,0.0000,-0.0185,0.0172,+62.00%,Put,09/18/26
643-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,660-0,0-1s,76.26%,-0.0013,0.0000,-0.0183,0.0178,+58.76%,Put,09/18/26
623-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,680-0,0-1s,73.12%,-0.0014,0.0000,-0.0182,0.0185,+55.61%,Put,09/18/26
603-4s,99.55%,0.9812,0.0001,-0.2134,0.1520,+82.04%,Call,09/18/26,700-0,0-1s,70.06%,-0.0015,0.0000,-0.0181,0.0192,+52.55%,Put,09/18/26
583-4s,95.00%,0.9809,0.0001,-0.2063,0.1541,+77.50%,Call,09/18/26,720-0,0-1s,67.08%,-0.0015,0.0000,-0.0180,0.0200,+49.58%,Put,09/18/26
563-4s,90.59%,0.9807,0.0001,-0.1992,0.1561,+73.08%,Call,09/18/26,740-0,0-1s,64.18%,-0.0016,0.0000,-0.0178,0.0208,+46.68%,Put,09/18/26
543-4s,86.30%,0.9805,0.0001,-0.1921,0.1582,+68.79%,Call,09/18/26,760-0,0-1s,61.36%,-0.0017,0.0000,-0.0177,0.0217,+43.85%,Put,09/18/26
523-4s,82.12%,0.9802,0.0001,-0.1850,0.1602,+64.61%,Call,09/18/26,780-0,0-1s,58.60%,-0.0017,0.0000,-0.0175,0.0225,+41.10%,Put,09/18/26
503-4s,78.05%,0.9800,0.0001,-0.1778,0.1622,+60.54%,Call,09/18/26,800-0,0-1s,55.91%,-0.0018,0.0000,-0.0174,0.0235,+38.41%,Put,09/18/26
483-4s,74.08%,0.9798,0.0001,-0.1706,0.1642,+56.58%,Call,09/18/26,820-0,0-1s,53.28%,-0.0019,0.0000,-0.0172,0.0245,+35.78%,Put,09/18/26
463-4s,70.22%,0.9796,0.0001,-0.1635,0.1661,+52.71%,Call,09/18/26,840-0,0-1s,50.71%,-0.0020,0.0000,-0.0170,0.0256,+33.21%,Put,09/18/26
453-4s,0.00%,0.9961,0.0000,0.0000,0.0000,-17.51%,Call,09/18/26,850-0,0-1s,49.45%,-0.0021,0.0000,-0.0170,0.0262,+31.94%,Put,09/18/26
443-4s,66.44%,0.9793,0.0002,-0.1563,0.1680,+48.94%,Call,09/18/26,860-0,0-1s,48.20%,-0.0021,0.0000,-0.0169,0.0268,+30.69%,Put,09/18/26
433-4s,64.59%,0.9792,0.0002,-0.1527,0.1690,+47.08%,Call,09/18/26,870-0,0-1s,46.96%,-0.0022,0.0000,-0.0168,0.0274,+29.45%,Put,09/18/26
423-4s,62.76%,0.9791,0.0002,-0.1491,0.1699,+45.25%,Call,09/18/26,880-0,0-1s,45.73%,-0.0022,0.0000,-0.0167,0.0280,+28.23%,Put,09/18/26
413-4s,60.95%,0.9790,0.0002,-0.1455,0.1709,+43.44%,Call,09/18/26,890-0,0-1s,44.52%,-0.0023,0.0000,-0.0166,0.0287,+27.01%,Put,09/18/26
403-4s,59.16%,0.9789,0.0002,-0.1419,0.1718,+41.65%,Call,09/18/26,900-0,0-1s,43.32%,-0.0023,0.0000,-0.0165,0.0294,+25.81%,Put,09/18/26
393-4s,57.39%,0.9788,0.0002,-0.1383,0.1728,+39.88%,Call,09/18/26,910-0,0-1s,42.13%,-0.0024,0.0000,-0.0164,0.0301,+24.62%,Put,09/18/26
383-4s,55.64%,0.9787,0.0002,-0.1347,0.1737,+38.13%,Call,09/18/26,920-0,0-1s,40.95%,-0.0025,0.0000,-0.0163,0.0308,+23.44%,Put,09/18/26
373-4s,53.91%,0.9786,0.0002,-0.1310,0.1746,+36.40%,Call,09/18/26,930-0,0-1s,39.78%,-0.0025,0.0000,-0.0161,0.0316,+22.27%,Put,09/18/26
363-4s,52.20%,0.9785,0.0002,-0.1274,0.1756,+34.69%,Call,09/18/26,940-0,0-1s,38.62%,-0.0026,0.0001,-0.0160,0.0324,+21.12%,Put,09/18/26
353-4s,50.50%,0.9783,0.0002,-0.1238,0.1765,+33.00%,Call,09/18/26,950-0,0-1s,37.48%,-0.0027,0.0001,-0.0159,0.0333,+19.97%,Put,09/18/26
343-4s,48.83%,0.9782,0.0002,-0.1202,0.1774,+31.32%,Call,09/18/26,960-0,0-1s,36.34%,-0.0028,0.0001,-0.0158,0.0342,+18.83%,Put,09/18/26
333-4s,47.17%,0.9781,0.0002,-0.1166,0.1783,+29.67%,Call,09/18/26,970-0,0-1s,35.21%,-0.0028,0.0001,-0.0157,0.0351,+17.71%,Put,09/18/26
323-4s,45.53%,0.9780,0.0002,-0.1130,0.1792,+28.03%,Call,09/18/26,980-0,0-1s,34.09%,-0.0029,0.0001,-0.0155,0.0361,+16.59%,Put,09/18/26
313-4s,43.91%,0.9779,0.0003,-0.1093,0.1801,+26.40%,Call,09/18/26,990-0,0-1s,32.98%,-0.0030,0.0001,-0.0154,0.0371,+15.48%,Put,09/18/26
303-4s,42.30%,0.9778,0.0003,-0.1057,0.1810,+24.80%,Call,09/18/26,1000-0,0-2s,34.38%,-0.0055,0.0001,-0.0276,0.0632,+16.87%,Put,09/18/26
293-4s,40.71%,0.9777,0.0003,-0.1021,0.1819,+23.21%,Call,09/18/26,1010-0,0-2s,33.21%,-0.0057,0.0001,-0.0274,0.0651,+15.71%,Put,09/18/26
283-4s,39.14%,0.9776,0.0003,-0.0985,0.1828,+21.63%,Call,09/18/26,1020-0,0-2s,32.06%,-0.0058,0.0001,-0.0271,0.0670,+14.55%,Put,09/18/26
273-4s,37.58%,0.9775,0.0003,-0.0949,0.1837,+20.07%,Call,09/18/26,1030-0,0-2s,30.91%,-0.0060,0.0001,-0.0268,0.0691,+13.41%,Put,09/18/26
263-4s,36.04%,0.9774,0.0003,-0.0912,0.1845,+18.53%,Call,09/18/26,1040-0,0-2s,29.77%,-0.0063,0.0001,-0.0265,0.0712,+12.27%,Put,09/18/26
253-4s,34.51%,0.9773,0.0003,-0.0876,0.1854,+17.00%,Call,09/18/26,1050-0,0-2s,28.64%,-0.0065,0.0002,-0.0262,0.0736,+11.13%,Put,09/18/26
