Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,0-1s,27,85,6.25,250-0,Put,1803-6s,N/A,N/A,"90,187.50"
Call,416-2s,N/A,N/A,"20,812.50",280-0,Put,0-1s,N/A,N/A,6.25
Call,406-2s,N/A,N/A,"20,312.50",290-0,Put,0-1s,N/A,N/A,6.25
Call,396-2s,N/A,N/A,"19,812.50",300-0,Put,0-1s,N/A,N/A,6.25
Call,386-2s,N/A,N/A,"19,312.50",310-0,Put,0-1s,N/A,N/A,6.25
Call,376-2s,N/A,N/A,"18,812.50",320-0,Put,0-1s,N/A,N/A,6.25
Call,366-2s,N/A,N/A,"18,312.50",330-0,Put,0-1s,N/A,N/A,6.25
Call,356-2s,N/A,N/A,"17,812.50",340-0,Put,0-1s,N/A,N/A,6.25
Call,346-2s,N/A,N/A,"17,312.50",350-0,Put,0-1s,N/A,N/A,6.25
Call,336-2s,N/A,N/A,"16,812.50",360-0,Put,0-1s,N/A,50,6.25
Call,326-2s,N/A,N/A,"16,312.50",370-0,Put,0-1s,N/A,N/A,6.25
Call,316-2s,N/A,N/A,"15,812.50",380-0,Put,0-1s,N/A,3,6.25
Call,306-2s,N/A,N/A,"15,312.50",390-0,Put,0-1s,N/A,1,6.25
Call,296-2s,N/A,N/A,"14,812.50",400-0,Put,0-1s,2,58,6.25
Call,286-2s,N/A,N/A,"14,312.50",410-0,Put,0-1s,N/A,6,6.25
Call,276-2s,N/A,N/A,"13,812.50",420-0,Put,0-1s,N/A,5,6.25
Call,266-2s,N/A,N/A,"13,312.50",430-0,Put,0-1s,N/A,216,6.25
Call,261-2s,N/A,N/A,"13,062.50",435-0,Put,0-1s,N/A,1,6.25
Call,256-2s,N/A,N/A,"12,812.50",440-0,Put,0-1s,N/A,294,6.25
Call,251-2s,N/A,N/A,"12,562.50",445-0,Put,0-1s,N/A,48,6.25
Call,246-2s,N/A,2,"12,312.50",450-0,Put,0-1s,N/A,"1,026",6.25
Call,241-2s,N/A,N/A,"12,062.50",455-0,Put,0-1s,N/A,101,6.25
Call,236-2s,N/A,N/A,"11,812.50",460-0,Put,0-1s,N/A,125,6.25
Call,231-2s,N/A,N/A,"11,562.50",465-0,Put,0-1s,N/A,184,6.25
Call,226-2s,N/A,N/A,"11,312.50",470-0,Put,0-1s,N/A,70,6.25
Call,221-2s,N/A,N/A,"11,062.50",475-0,Put,0-1s,N/A,7,6.25
Call,216-2s,N/A,N/A,"10,812.50",480-0,Put,0-1s,N/A,414,6.25
Call,211-2s,N/A,N/A,"10,562.50",485-0,Put,0-1s,N/A,76,6.25
Call,206-2s,N/A,N/A,"10,312.50",490-0,Put,0-1s,N/A,165,6.25
Call,201-2s,N/A,N/A,"10,062.50",495-0,Put,0-1s,N/A,44,6.25
Call,196-2s,N/A,30,"9,812.50",500-0,Put,0-1s,N/A,"3,322",6.25
Call,191-2s,N/A,N/A,"9,562.50",505-0,Put,0-1s,N/A,250,6.25
Call,186-2s,N/A,1,"9,312.50",510-0,Put,0-1s,2,210,6.25
Call,181-2s,N/A,N/A,"9,062.50",515-0,Put,0-1s,3,396,6.25
Call,176-2s,N/A,12,"8,812.50",520-0,Put,0-2s,N/A,"1,462",12.50
Call,171-3s,N/A,120,"8,568.75",525-0,Put,0-2s,N/A,903,12.50
Call,166-3s,N/A,10,"8,318.75",530-0,Put,0-2s,6,"2,340",12.50
Call,161-3s,N/A,N/A,"8,068.75",535-0,Put,0-3s,N/A,182,18.75
Call,156-3s,N/A,N/A,"7,818.75",540-0,Put,0-3s,26,689,18.75
Call,151-4s,N/A,1,"7,575.00",545-0,Put,0-3s,234,746,18.75
Call,146-4s,N/A,140,"7,325.00",550-0,Put,0-4s,32,"5,904",25.00
Call,141-5s,N/A,711,"7,081.25",555-0,Put,0-4s,N/A,"1,449",25.00
Call,136-5s,N/A,543,"6,831.25",560-0,Put,0-4s,91,"2,642",25.00
Call,131-6s,N/A,38,"6,587.50",565-0,Put,0-5s,1,343,31.25
Call,126-7s,4,255,"6,343.75",570-0,Put,0-7s,12,"2,050",43.75
Call,122-0s,1,116,"6,100.00",575-0,Put,1-0s,1,"1,679",50.00
Call,117-2s,N/A,545,"5,862.50",580-0,Put,1-0s,15,"3,313",50.00
Call,112-4s,N/A,121,"5,625.00",585-0,Put,1-4s,3,841,75.00
Call,107-6s,1,"1,246","5,387.50",590-0,Put,1-5s,63,"1,684",81.25
