Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
0-1s,0.00%,0.9959,0.0000,0.0000,0.0000,-33.86%,Call,07/10/26,250-0,1859-6s,0.00%,0.0000,0.0000,0.0000,0.0000,-33.86%,Put,07/10/26
360-2s,0.00%,0.9959,0.0000,0.0000,0.0000,-33.86%,Call,07/10/26,280-0,0-1s,91.78%,-0.0020,0.0000,-0.0149,0.0135,+57.92%,Put,07/10/26
350-2s,0.00%,0.9959,0.0000,0.0000,0.0000,-33.86%,Call,07/10/26,290-0,0-1s,88.11%,-0.0021,0.0000,-0.0148,0.0141,+54.25%,Put,07/10/26
340-2s,0.00%,0.9959,0.0000,0.0000,0.0000,-33.86%,Call,07/10/26,300-0,0-1s,84.56%,-0.0022,0.0000,-0.0147,0.0146,+50.70%,Put,07/10/26
330-2s,0.00%,0.9959,0.0000,0.0000,0.0000,-33.86%,Call,07/10/26,310-0,0-1s,81.12%,-0.0023,0.0000,-0.0146,0.0151,+47.26%,Put,07/10/26
320-2s,0.00%,0.9959,0.0000,0.0000,0.0000,-33.86%,Call,07/10/26,320-0,0-1s,77.79%,-0.0024,0.0000,-0.0145,0.0157,+43.93%,Put,07/10/26
310-2s,0.00%,0.9959,0.0000,0.0000,0.0000,-33.86%,Call,07/10/26,330-0,0-1s,74.57%,-0.0025,0.0000,-0.0144,0.0163,+40.71%,Put,07/10/26
300-2s,95.69%,0.9804,0.0002,-0.0973,0.0824,+61.83%,Call,07/10/26,340-0,0-1s,71.43%,-0.0026,0.0001,-0.0143,0.0170,+37.57%,Put,07/10/26
290-2s,91.28%,0.9801,0.0002,-0.0940,0.0835,+57.42%,Call,07/10/26,350-0,0-1s,68.39%,-0.0027,0.0001,-0.0142,0.0176,+34.53%,Put,07/10/26
280-2s,86.99%,0.9799,0.0002,-0.0908,0.0847,+53.13%,Call,07/10/26,360-0,0-1s,65.42%,-0.0028,0.0001,-0.0141,0.0183,+31.56%,Put,07/10/26
270-2s,82.82%,0.9796,0.0002,-0.0875,0.0858,+48.96%,Call,07/10/26,370-0,0-1s,62.53%,-0.0029,0.0001,-0.0140,0.0191,+28.67%,Put,07/10/26
260-2s,78.77%,0.9794,0.0002,-0.0843,0.0870,+44.91%,Call,07/10/26,380-0,0-1s,59.72%,-0.0031,0.0001,-0.0138,0.0199,+25.86%,Put,07/10/26
250-2s,74.83%,0.9791,0.0003,-0.0810,0.0881,+40.97%,Call,07/10/26,390-0,0-1s,56.97%,-0.0032,0.0001,-0.0137,0.0207,+23.11%,Put,07/10/26
240-2s,70.99%,0.9789,0.0003,-0.0777,0.0892,+37.13%,Call,07/10/26,400-0,0-1s,54.29%,-0.0034,0.0001,-0.0136,0.0216,+20.43%,Put,07/10/26
230-2s,67.25%,0.9786,0.0003,-0.0744,0.0903,+33.39%,Call,07/10/26,410-0,0-1s,51.67%,-0.0035,0.0001,-0.0134,0.0225,+17.81%,Put,07/10/26
220-2s,63.60%,0.9784,0.0003,-0.0711,0.0913,+29.74%,Call,07/10/26,420-0,0-1s,49.10%,-0.0037,0.0001,-0.0133,0.0235,+15.24%,Put,07/10/26
