Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,494-0s,N/A,N/A,"24,700.00",290-0,Put,0-1s,N/A,N/A,6.25
Call,484-0s,N/A,N/A,"24,200.00",300-0,Put,0-1s,N/A,N/A,6.25
Call,474-0s,N/A,N/A,"23,700.00",310-0,Put,0-1s,N/A,N/A,6.25
Call,464-0s,N/A,N/A,"23,200.00",320-0,Put,0-1s,N/A,N/A,6.25
Call,454-0s,N/A,N/A,"22,700.00",330-0,Put,0-1s,N/A,100,6.25
Call,444-0s,N/A,N/A,"22,200.00",340-0,Put,0-1s,N/A,N/A,6.25
Call,434-0s,N/A,N/A,"21,700.00",350-0,Put,0-1s,N/A,N/A,6.25
Call,424-0s,N/A,N/A,"21,200.00",360-0,Put,0-1s,N/A,N/A,6.25
Call,414-0s,N/A,N/A,"20,700.00",370-0,Put,0-1s,N/A,N/A,6.25
Call,404-0s,N/A,N/A,"20,200.00",380-0,Put,0-1s,N/A,N/A,6.25
Call,394-0s,N/A,N/A,"19,700.00",390-0,Put,0-1s,N/A,N/A,6.25
Call,384-0s,N/A,N/A,"19,200.00",400-0,Put,0-1s,N/A,3,6.25
Call,374-0s,N/A,N/A,"18,700.00",410-0,Put,0-1s,N/A,N/A,6.25
Call,364-0s,N/A,N/A,"18,200.00",420-0,Put,0-1s,N/A,1,6.25
Call,354-0s,N/A,N/A,"17,700.00",430-0,Put,0-1s,N/A,N/A,6.25
Call,344-0s,N/A,N/A,"17,200.00",440-0,Put,0-1s,N/A,114,6.25
Call,334-0s,N/A,N/A,"16,700.00",450-0,Put,0-2s,N/A,5,12.50
Call,329-0s,N/A,N/A,"16,450.00",455-0,Put,0-2s,N/A,10,12.50
Call,324-0s,N/A,N/A,"16,200.00",460-0,Put,0-2s,N/A,23,12.50
Call,319-0s,N/A,N/A,"15,950.00",465-0,Put,0-2s,N/A,100,12.50
Call,314-0s,N/A,N/A,"15,700.00",470-0,Put,0-3s,N/A,142,18.75
Call,309-0s,N/A,N/A,"15,450.00",475-0,Put,0-3s,N/A,84,18.75
Call,304-0s,N/A,N/A,"15,200.00",480-0,Put,0-3s,N/A,168,18.75
Call,299-0s,N/A,N/A,"14,950.00",485-0,Put,0-3s,N/A,41,18.75
Call,294-0s,N/A,N/A,"14,700.00",490-0,Put,0-3s,115,222,18.75
Call,289-0s,N/A,N/A,"14,450.00",495-0,Put,0-4s,N/A,140,25.00
Call,284-0s,N/A,N/A,"14,200.00",500-0,Put,0-4s,N/A,"2,064",25.00
Call,279-0s,N/A,N/A,"13,950.00",505-0,Put,0-4s,N/A,660,25.00
Call,274-0s,N/A,N/A,"13,700.00",510-0,Put,0-5s,N/A,317,31.25
Call,269-0s,N/A,N/A,"13,450.00",515-0,Put,0-5s,N/A,234,31.25
Call,264-0s,N/A,N/A,"13,200.00",520-0,Put,0-6s,N/A,"2,845",37.50
Call,259-1s,N/A,1,"12,956.25",525-0,Put,0-6s,N/A,169,37.50
Call,254-1s,N/A,1,"12,706.25",530-0,Put,0-7s,N/A,550,43.75
Call,249-2s,N/A,1,"12,462.50",535-0,Put,1-0s,N/A,176,50.00
Call,244-2s,N/A,N/A,"12,212.50",540-0,Put,1-1s,N/A,409,56.25
Call,239-3s,N/A,N/A,"11,968.75",545-0,Put,1-2s,N/A,139,62.50
Call,234-4s,N/A,835,"11,725.00",550-0,Put,1-3s,64,"3,711",68.75
Call,229-5s,N/A,N/A,"11,481.25",555-0,Put,1-4s,16,415,75.00
Call,224-6s,N/A,32,"11,237.50",560-0,Put,1-5s,N/A,"1,141",81.25
Call,219-7s,N/A,4,"10,993.75",565-0,Put,1-7s,N/A,"1,107",93.75
Call,215-1s,N/A,741,"10,756.25",570-0,Put,2-0s,N/A,"1,287",100.00
Call,210-2s,N/A,707,"10,512.50",575-0,Put,2-2s,N/A,477,112.50
Call,205-4s,N/A,14,"10,275.00",580-0,Put,2-4s,41,"1,930",125.00
Call,200-6s,N/A,37,"10,037.50",585-0,Put,2-6s,N/A,210,137.50
Call,196-0s,N/A,118,"9,800.00",590-0,Put,3-0s,7,"1,143",150.00
Call,191-3s,N/A,184,"9,568.75",595-0,Put,3-3s,N/A,188,168.75
Call,186-6s,N/A,"2,246","9,337.50",600-0,Put,3-5s,"2,719","4,089",181.25
Call,182-1s,N/A,94,"9,106.25",605-0,Put,4-0s,N/A,699,200.00
Call,177-4s,N/A,258,"8,875.00",610-0,Put,4-3s,12,"4,079",218.75
Call,173-0s,N/A,390,"8,650.00",615-0,Put,4-7s,533,797,243.75
Call,168-4s,2,"1,479","8,425.00",620-0,Put,5-3s,605,"5,849",268.75
Call,164-0s,2,129,"8,200.00",625-0,Put,5-7s,7,711,293.75
Call,159-5s,22,604,"7,981.25",630-0,Put,6-4s,437,"2,365",325.00
Call,155-2s,N/A,458,"7,762.50",635-0,Put,7-1s,16,177,356.25
Call,151-0s,24,"1,700","7,550.00",640-0,Put,7-6s,29,"2,115",387.50
Call,146-6s,N/A,164,"7,337.50",645-0,Put,8-4s,119,616,425.00
Call,142-4s,85,"3,765","7,125.00",650-0,Put,9-3s,316,"6,071",468.75
Call,138-4s,N/A,902,"6,925.00",655-0,Put,10-2s,4,443,512.50
Call,134-3s,58,"1,967","6,718.75",660-0,Put,11-1s,"1,195","2,955",556.25
Call,130-4s,1,778,"6,525.00",665-0,Put,12-2s,1,624,612.50
