Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
436-6s,0.00%,0.9934,0.0000,0.0000,0.0000,-35.15%,Call,09/21/26,290-0,0-1s,82.36%,-0.0016,0.0000,-0.0101,0.0155,+47.21%,Put,09/21/26
426-6s,0.00%,0.9934,0.0000,0.0000,0.0000,-35.15%,Call,09/21/26,300-0,0-1s,79.48%,-0.0017,0.0000,-0.0101,0.0160,+44.32%,Put,09/21/26
416-6s,0.00%,0.9934,0.0000,0.0000,0.0000,-35.15%,Call,09/21/26,310-0,0-1s,76.68%,-0.0018,0.0000,-0.0100,0.0166,+41.53%,Put,09/21/26
406-6s,0.00%,0.9934,0.0000,0.0000,0.0000,-35.15%,Call,09/21/26,320-0,0-1s,73.98%,-0.0018,0.0000,-0.0100,0.0171,+38.82%,Put,09/21/26
396-6s,0.00%,0.9934,0.0000,0.0000,0.0000,-35.15%,Call,09/21/26,330-0,0-1s,71.36%,-0.0019,0.0000,-0.0099,0.0177,+36.20%,Put,09/21/26
386-6s,0.00%,0.9934,0.0000,0.0000,0.0000,-35.15%,Call,09/21/26,340-0,0-1s,68.81%,-0.0020,0.0000,-0.0098,0.0183,+33.66%,Put,09/21/26
376-6s,0.00%,0.9934,0.0000,0.0000,0.0000,-35.15%,Call,09/21/26,350-0,0-1s,66.34%,-0.0020,0.0000,-0.0098,0.0189,+31.18%,Put,09/21/26
366-6s,99.20%,0.9685,0.0002,-0.1416,0.1701,+64.05%,Call,09/21/26,360-0,0-1s,63.94%,-0.0021,0.0000,-0.0097,0.0195,+28.78%,Put,09/21/26
356-6s,95.40%,0.9680,0.0002,-0.1385,0.1731,+60.24%,Call,09/21/26,370-0,0-1s,61.60%,-0.0022,0.0000,-0.0096,0.0202,+26.44%,Put,09/21/26
346-6s,91.70%,0.9674,0.0002,-0.1354,0.1761,+56.55%,Call,09/21/26,380-0,0-1s,59.32%,-0.0023,0.0000,-0.0096,0.0209,+24.16%,Put,09/21/26
336-6s,88.10%,0.9669,0.0002,-0.1323,0.1791,+52.95%,Call,09/21/26,390-0,0-1s,57.10%,-0.0024,0.0000,-0.0095,0.0216,+21.94%,Put,09/21/26
326-6s,84.60%,0.9663,0.0003,-0.1291,0.1822,+49.45%,Call,09/21/26,400-0,0-1s,54.93%,-0.0025,0.0000,-0.0094,0.0223,+19.78%,Put,09/21/26
316-6s,81.19%,0.9658,0.0003,-0.1259,0.1854,+46.03%,Call,09/21/26,410-0,0-1s,52.81%,-0.0026,0.0001,-0.0093,0.0231,+17.66%,Put,09/21/26
306-6s,77.86%,0.9652,0.0003,-0.1228,0.1885,+42.71%,Call,09/21/26,420-0,0-1s,50.74%,-0.0027,0.0001,-0.0093,0.0240,+15.59%,Put,09/21/26
296-6s,74.62%,0.9646,0.0003,-0.1196,0.1918,+39.46%,Call,09/21/26,430-0,0-1s,48.72%,-0.0028,0.0001,-0.0092,0.0248,+13.57%,Put,09/21/26
286-6s,71.45%,0.9640,0.0003,-0.1164,0.1950,+36.29%,Call,09/21/26,440-0,0-1s,46.74%,-0.0029,0.0001,-0.0091,0.0257,+11.59%,Put,09/21/26
276-6s,68.35%,0.9634,0.0003,-0.1131,0.1984,+33.20%,Call,09/21/26,450-0,0-1s,44.81%,-0.0030,0.0001,-0.0090,0.0267,+9.65%,Put,09/21/26
271-6s,66.83%,0.9631,0.0004,-0.1115,0.2001,+31.68%,Call,09/21/26,455-0,0-1s,43.85%,-0.0031,0.0001,-0.0089,0.0272,+8.70%,Put,09/21/26
266-6s,65.33%,0.9628,0.0004,-0.1099,0.2018,+30.18%,Call,09/21/26,460-0,0-1s,42.91%,-0.0031,0.0001,-0.0089,0.0277,+7.75%,Put,09/21/26
261-6s,63.84%,0.9625,0.0004,-0.1083,0.2036,+28.69%,Call,09/21/26,465-0,0-1s,41.97%,-0.0032,0.0001,-0.0088,0.0283,+6.82%,Put,09/21/26
256-6s,62.37%,0.9621,0.0004,-0.1067,0.2054,+27.22%,Call,09/21/26,470-0,0-1s,41.05%,-0.0033,0.0001,-0.0088,0.0288,+5.89%,Put,09/21/26
251-6s,60.92%,0.9618,0.0004,-0.1051,0.2072,+25.76%,Call,09/21/26,475-0,0-1s,40.13%,-0.0033,0.0001,-0.0087,0.0294,+4.97%,Put,09/21/26
246-6s,59.48%,0.9615,0.0004,-0.1034,0.2090,+24.32%,Call,09/21/26,480-0,0-1s,39.22%,-0.0034,0.0001,-0.0087,0.0300,+4.07%,Put,09/21/26
241-6s,58.05%,0.9611,0.0004,-0.1018,0.2109,+22.90%,Call,09/21/26,485-0,0-1s,38.32%,-0.0035,0.0001,-0.0086,0.0306,+3.16%,Put,09/21/26
236-6s,56.65%,0.9608,0.0004,-0.1002,0.2128,+21.49%,Call,09/21/26,490-0,0-1s,37.43%,-0.0036,0.0001,-0.0086,0.0312,+2.27%,Put,09/21/26
231-6s,55.25%,0.9604,0.0005,-0.0986,0.2147,+20.10%,Call,09/21/26,495-0,0-1s,36.54%,-0.0037,0.0001,-0.0085,0.0319,+1.39%,Put,09/21/26
226-6s,53.87%,0.9600,0.0005,-0.0969,0.2167,+18.72%,Call,09/21/26,500-0,0-1s,35.67%,-0.0037,0.0001,-0.0085,0.0325,+0.51%,Put,09/21/26
221-6s,52.50%,0.9597,0.0005,-0.0953,0.2187,+17.35%,Call,09/21/26,505-0,0-2s,37.68%,-0.0067,0.0002,-0.0152,0.0545,+2.52%,Put,09/21/26
216-6s,51.15%,0.9593,0.0005,-0.0936,0.2208,+16.00%,Call,09/21/26,510-0,0-2s,36.75%,-0.0068,0.0002,-0.0151,0.0556,+1.60%,Put,09/21/26
211-6s,49.81%,0.9589,0.0005,-0.0920,0.2229,+14.66%,Call,09/21/26,515-0,0-2s,35.84%,-0.0070,0.0002,-0.0150,0.0568,+0.69%,Put,09/21/26
206-6s,48.48%,0.9585,0.0005,-0.0904,0.2250,+13.33%,Call,09/21/26,520-0,0-2s,34.93%,-0.0072,0.0002,-0.0149,0.0580,-0.22%,Put,09/21/26
201-6s,47.17%,0.9580,0.0006,-0.0887,0.2273,+12.02%,Call,09/21/26,525-0,0-3s,35.85%,-0.0101,0.0003,-0.0207,0.0783,+0.70%,Put,09/21/26
196-6s,45.87%,0.9576,0.0006,-0.0871,0.2295,+10.71%,Call,09/21/26,530-0,0-4s,36.34%,-0.0129,0.0003,-0.0261,0.0969,+1.18%,Put,09/21/26
191-6s,44.58%,0.9572,0.0006,-0.0854,0.2318,+9.42%,Call,09/21/26,535-0,0-5s,36.55%,-0.0156,0.0004,-0.0312,0.1145,+1.40%,Put,09/21/26
186-7s,43.82%,0.9551,0.0006,-0.0879,0.2424,+8.67%,Call,09/21/26,540-0,0-4s,34.43%,-0.0136,0.0003,-0.0257,0.1012,-0.72%,Put,09/21/26
181-7s,42.55%,0.9546,0.0007,-0.0862,0.2451,+7.40%,Call,09/21/26,545-0,0-4s,33.49%,-0.0139,0.0004,-0.0255,0.1035,-1.67%,Put,09/21/26
176-7s,41.29%,0.9541,0.0007,-0.0845,0.2479,+6.14%,Call,09/21/26,550-0,0-5s,33.65%,-0.0169,0.0004,-0.0303,0.1223,-1.51%,Put,09/21/26
172-0s,40.53%,0.9518,0.0008,-0.0868,0.2592,+5.38%,Call,09/21/26,555-0,0-6s,33.63%,-0.0199,0.0005,-0.0349,0.1404,-1.52%,Put,09/21/26
167-1s,39.76%,0.9495,0.0008,-0.0891,0.2708,+4.60%,Call,09/21/26,560-0,0-6s,32.66%,-0.0204,0.0005,-0.0345,0.1437,-2.49%,Put,09/21/26
162-1s,38.52%,0.9488,0.0008,-0.0873,0.2744,+3.36%,Call,09/21/26,565-0,0-7s,32.51%,-0.0235,0.0006,-0.0387,0.1617,-2.65%,Put,09/21/26
157-2s,37.73%,0.9463,0.0009,-0.0894,0.2866,+2.58%,Call,09/21/26,570-0,1-1s,32.93%,-0.0289,0.0007,-0.0469,0.1926,-2.23%,Put,09/21/26
152-4s,37.34%,0.9420,0.0010,-0.0951,0.3073,+2.19%,Call,09/21/26,575-0,1-2s,32.54%,-0.0321,0.0008,-0.0505,0.2097,-2.62%,Put,09/21/26
